"country code","continent","country","date","total_cases","new_cases","total deaths","total cases per million","total deaths per million","population","life expectancy","human development index"
"DZA","Africa","Algeria","2021-01-27","106359.0","262.0","2877.0","2425.461","65.608",,"6.73","0.7"
"AGO","Africa","Angola","2021-01-27","19580.0","27.0","462.0","595.748","14.057",,"3.94",
"BEN","Africa","Benin","2021-01-27","3786.0","143.0","48.0","312.294","3.959",,"0.99","0.6"
"BWA","Africa","Botswana","2021-01-27","20658.0","0.0","124.0","8784.564","52.729",,"4.81","5.7"
"BFA","Africa","Burkina Faso","2021-01-27","10217.0","60.0","120.0","488.775","5.741",,"2.42","1.6"
"BDI","Africa","Burundi","2021-01-27","1542.0","61.0","2.0","129.68","0.168",,"6.05",
"CMR","Africa","Cameroon","2021-01-27","29617.0","0.0","462.0","1115.692","17.404",,"7.2",
"CPV","Africa","Cape Verde","2021-01-27","13722.0","103.0","129.0","24680.389","232.019",,"2.42","2.1"
"CAF","Africa","Central African Republic","2021-01-27","4980.0","0.0","63.0","1031.106","13.044",,"6.1",
"TCD","Africa","Chad","2021-01-27","3269.0","44.0","117.0","199.015","7.123",,"6.1",
"COM","Africa","Comoros","2021-01-27","2492.0","67.0","81.0","2865.702","93.147",,"11.88","4.4"
"COG","Africa","Congo","2021-01-27","7887.0","0.0","117.0","1429.298","21.203",,"7.2","1.7"
"CIV","Africa","Cote d'Ivoire","2021-01-27","27455.0","218.0","151.0","1040.819","5.724",,"2.42",
"COD","Africa","Democratic Republic of Congo","2021-01-27","22178.0","130.0","661.0","247.629","7.38",,"6.1",
"DJI","Africa","Djibouti","2021-01-27","5926.0","3.0","62.0","5997.964","62.753",,"6.05","1.7"
"EGY","Africa","Egypt","2021-01-27","163761.0","632.0","9115.0","1600.254","89.071",,"17.31","0.2"
"GNQ","Africa","Equatorial Guinea","2021-01-27","5492.0","38.0","86.0","3914.511","61.298",,"7.78",
