"country code","continent","country","date","total_cases","new_cases","total deaths","total cases per million","total deaths per million","population","life expectancy","human development index"
"DZA","Africa","Algeria","2020-12-09","90014.0","598.0","2554.0","2052.722","58.243","43851043.0","76.88","0.754"
"AGO","Africa","Angola","2020-12-09","15804.0","75.0","358.0","480.858","10.893","32866268.0","61.15","0.581"
"BEN","Africa","Benin","2020-12-09","3090.0","17.0","44.0","254.883","3.629","12123198.0","61.77","0.515"
"BWA","Africa","Botswana","2020-12-09","12058.0","0.0","36.0","5127.518","15.309","2351625.0","69.59","0.717"
"BFA","Africa","Burkina Faso","2020-12-09","3469.0","0.0","69.0","165.955","3.301","20903278.0","61.58","0.423"
"BDI","Africa","Burundi","2020-12-09","720.0","4.0","1.0","60.551","0.084","11890781.0","61.58","0.417"
"CMR","Africa","Cameroon","2020-12-09","24963.0","211.0","443.0","940.372","16.688","26545864.0","59.29","0.556"
"CPV","Africa","Cape Verde","2020-12-09","11192.0","74.0","109.0","20129.931","196.047","555988.0","72.98","0.654"
"CAF","Africa","Central African Republic","2020-12-09","4927.0","0.0","63.0","1020.133","13.044","4829764.0","53.28","0.367"
"TCD","Africa","Chad","2020-12-09","1732.0","3.0","102.0","105.443","6.21","16425859.0","54.24","0.404"
"COM","Africa","Comoros","2020-12-09","617.0","0.0","7.0","709.526","8.05","869595.0","64.32","0.503"
"COG","Africa","Congo","2020-12-09","6049.0","275.0","99.0","1096.212","17.941","5518092.0","64.57","0.606"
"CIV","Africa","Cote d'Ivoire","2020-12-09","21547.0","34.0","133.0","816.846","5.042","26378275.0","57.78","0.492"
"COD","Africa","Democratic Republic of Congo","2020-12-09","13843.0","93.0","350.0","154.564","3.908","89561404.0","60.68","0.457"
"DJI","Africa","Djibouti","2020-12-09","5717.0","3.0","61.0","5786.426","61.741","988002.0","67.11","0.476"
"EGY","Africa","Egypt","2020-12-09","119702.0","421.0","6832.0","1169.714","66.762","102334403.0","71.99","0.696"
"GNQ","Africa","Equatorial Guinea","2020-12-09","5183.0","17.0","85.0","3694.266","60.585","1402985.0","58.74","0.591"
"ERI","Africa","Eritrea","2020-12-09","649.0","0.0",,"183.001",,"3546427.0","66.32","0.44"
"SWZ","Africa","Eswatini","2020-12-09","6612.0","49.0","125.0","5699.194","107.743","1160164.0","60.19","0.588"
"ETH","Africa","Ethiopia","2020-12-09","114834.0","568.0","1769.0","998.873","15.387","114963583.0","66.6","0.463"
