"country code","continent","country","date","total_cases","new_cases","total deaths","total cases per million","total deaths per million","population","life expectancy","human development index"
"DZA","Africa","Algeria","2020-12-03","85927.0","843.0","2480.0","1959.52","56.555","43851043.0","76.88","0.754"
"AGO","Africa","Angola","2020-12-03","15361.0","42.0","352.0","467.379","10.71","32866268.0","61.15","0.581"
"BEN","Africa","Benin","2020-12-03","3055.0","0.0","44.0","251.996","3.629","12123198.0","61.77","0.515"
"BWA","Africa","Botswana","2020-12-03","11531.0","789.0","34.0","4903.418","14.458","2351625.0","69.59","0.717"
"BFA","Africa","Burkina Faso","2020-12-03","3062.0","52.0","68.0","146.484","3.253","20903278.0","61.58","0.423"
"BDI","Africa","Burundi","2020-12-03","692.0","3.0","1.0","58.196","0.084","11890781.0","61.58","0.417"
"CMR","Africa","Cameroon","2020-12-03","24487.0","0.0","441.0","922.441","16.613","26545864.0","59.29","0.556"
"CPV","Africa","Cape Verde","2020-12-03","10938.0","71.0","107.0","19673.086","192.45","555988.0","72.98","0.654"
"CAF","Africa","Central African Republic","2020-12-03","4918.0","0.0","63.0","1018.269","13.044","4829764.0","53.28","0.367"
"TCD","Africa","Chad","2020-12-03","1708.0","3.0","102.0","103.982","6.21","16425859.0","54.24","0.404"
"COM","Africa","Comoros","2020-12-03","615.0","2.0","7.0","707.226","8.05","869595.0","64.32","0.503"
"COG","Africa","Congo","2020-12-03","5774.0","0.0","94.0","1046.376","17.035","5518092.0","64.57","0.606"
"CIV","Africa","Cote d'Ivoire","2020-12-03","21389.0","28.0","132.0","810.857","5.004","26378275.0","57.78","0.492"
"COD","Africa","Democratic Republic of Congo","2020-12-03","13132.0","145.0","337.0","146.626","3.763","89561404.0","60.68","0.457"
"DJI","Africa","Djibouti","2020-12-03","5689.0","7.0","61.0","5758.086","61.741","988002.0","67.11","0.476"
"EGY","Africa","Egypt","2020-12-03","117156.0","432.0","6713.0","1144.835","65.599","102334403.0","71.99","0.696"
"GNQ","Africa","Equatorial Guinea","2020-12-03","5159.0","3.0","85.0","3677.16","60.585","1402985.0","58.74","0.591"
"ERI","Africa","Eritrea","2020-12-03","594.0","17.0",,"167.493",,"3546427.0","66.32","0.44"
"ETH","Africa","Ethiopia","2020-12-03","111579.0","595.0","1724.0","970.56","14.996","114963583.0","66.6","0.463"
"GAB","Africa","Gabon","2020-12-03","9239.0","0.0","60.0","4151.001","26.957","2225728.0","66.47","0.702"
"GMB","Africa","Gambia","2020-12-03","3767.0","2.0","123.0","1558.76","50.897","2416664.0","62.05","0.46"
"GHA","Africa","Ghana","2020-12-03","51667.0","0.0","323.0","1662.765","10.395","31072945.0","64.07","0.592"
"GIN","Africa","Guinea","2020-12-03","13167.0","24.0","76.0","1002.605","5.787","13132792.0","61.6","0.459"
"GNB","Africa","Guinea-Bissau","2020-12-03","2441.0","0.0","44.0","1240.347","22.358","1967998.0","58.32","0.455"
"KEN","Africa","Kenya","2020-12-03","86383.0","1253.0","1500.0","1606.489","27.896","53771300.0","66.7","0.59"
"LSO","Africa","Lesotho","2020-12-03","2145.0","3.0","44.0","1001.283","20.539","2142252.0","54.33","0.52"
"LBR","Africa","Liberia","2020-12-03","1663.0","68.0","83.0","328.807","16.411","5057677.0","64.1","0.435"
"LBY","Africa","Libya","2020-12-03","84849.0","762.0","1212.0","12348.342","176.386","6871287.0","72.91","0.706"
"MDG","Africa","Madagascar","2020-12-03","17513.0","172.0","255.0","632.443","9.209","27691019.0","67.04","0.519"
"MWI","Africa","Malawi","2020-12-03","6043.0","3.0","185.0","315.892","9.671","19129955.0","64.26","0.477"
"MLI","Africa","Mali","2020-12-03","4880.0","43.0","162.0","240.978","8.0","20250834.0","59.31","0.427"
"MRT","Africa","Mauritania","2020-12-03","9005.0","142.0","181.0","1936.701","38.928","4649660.0","64.92","0.52"
"MUS","Africa","Mauritius","2020-12-03","508.0","0.0","10.0","399.444","7.863","1271767.0","74.99","0.79"
"MAR","Africa","Morocco","2020-12-03","368624.0","4434.0","6063.0","9986.953","164.262","36910558.0","76.68","0.667"
"MOZ","Africa","Mozambique","2020-12-03","15918.0","52.0","132.0","509.287","4.223","31255435.0","60.85","0.437"
"NAM","Africa","Namibia","2020-12-03","14599.0","122.0","151.0","5745.566","59.427","2540916.0","63.71","0.647"
"NER","Africa","Niger","2020-12-03","1640.0","0.0","76.0","67.75","3.14","24206636.0","62.42","0.354"
"NGA","Africa","Nigeria","2020-12-03","68303.0","343.0","1179.0","331.343","5.719","206139587.0","54.69","0.532"
"RWA","Africa","Rwanda","2020-12-03","6011.0","17.0","50.0","464.091","3.86","12952209.0","69.02","0.524"
"STP","Africa","Sao Tome and Principe","2020-12-03","997.0","0.0","17.0","4549.167","77.569","219161.0","70.39","0.589"
"SEN","Africa","Senegal","2020-12-03","16217.0","44.0","335.0","968.53","20.007","16743930.0","67.94","0.505"
"SYC","Africa","Seychelles","2020-12-03","183.0","0.0",,"1860.891",,"98340.0","73.4","0.797"
"SLE","Africa","Sierra Leone","2020-12-03","2416.0","0.0","74.0","302.871","9.277","7976985.0","54.7","0.419"
"SOM","Africa","Somalia","2020-12-03","4525.0","0.0","121.0","284.713","7.613","15893219.0","57.4",
"ZAF","Africa","South Africa","2020-12-03","800872.0","4400.0","21803.0","13503.451","367.619","59308690.0","64.13","0.699"
"SSD","Africa","South Sudan","2020-12-03","3154.0","36.0","62.0","281.765","5.539","11193729.0","57.85","0.388"
"SDN","Africa","Sudan","2020-12-03","18535.0","281.0","1271.0","422.698","28.986","43849269.0","65.31","0.502"
"SWZ","Africa","Swaziland","2020-12-03","6474.0","19.0","122.0","5580.246","105.158","1160164.0","60.19","0.588"
"TZA","Africa","Tanzania","2020-12-03","509.0","0.0","21.0","8.521","0.352","59734213.0","65.46","0.538"
"TGO","Africa","Togo","2020-12-03","3039.0","25.0","65.0","367.085","7.851","8278737.0","61.04","0.503"
"TUN","Africa","Tunisia","2020-12-03","99280.0","0.0","3359.0","8400.305","284.213","11818618.0","76.7","0.735"
"UGA","Africa","Uganda","2020-12-03","21612.0","203.0","206.0","472.486","4.504","45741000.0","63.37","0.516"
"ESH","Africa","Western Sahara","2020-12-03","10.0","0.0","1.0","16.741","1.674","597330.0","70.26",
"ZMB","Africa","Zambia","2020-12-03","17730.0","30.0","357.0","964.428","19.419","18383956.0","63.89","0.588"
"ZWE","Africa","Zimbabwe","2020-12-03","10424.0","295.0","280.0","701.342","18.839","14862927.0","61.49","0.535"
"AFG","Asia","Afghanistan","2020-12-03","46718.0","-262.0","1841.0","1200.103","47.292","38928341.0","64.83","0.498"
"ARM","Asia","Armenia","2020-12-03","138508.0","1277.0","2254.0","46742.174","760.655","2963234.0","75.09","0.755"
"AZE","Asia","Azerbaijan","2020-12-03","133733.0","4189.0","1510.0","13189.732","148.927","10139175.0","73.0","0.757"
"BHR","Asia","Bahrain","2020-12-03","87432.0","162.0","341.0","51382.742","200.402","1701583.0","77.29","0.846"
