country,date,total deaths
United States,2021-02-18,493082.0
Brazil,2021-02-18,243457.0
Mexico,2021-02-18,178108.0
India,2021-02-18,156111.0
United Kingdom,2021-02-18,119614.0
Italy,2021-02-18,94887.0
France,2021-02-18,83542.0
Russia,2021-02-18,80587.0
Germany,2021-02-18,67245.0
Spain,2021-02-18,66704.0
