"country code","continent","country","date","total_cases","new_cases","total deaths","total cases per million","total deaths per million","population","life expectancy","human development index"
"DZA","Africa","Algeria","2020-12-01","84152.0","953.0","2447.0","1919.042","55.803","43851043.0","76.88","0.754"
"AGO","Africa","Angola","2020-12-01","15251.0","112.0","350.0","464.032","10.649","32866268.0","61.15","0.581"
"BEN","Africa","Benin","2020-12-01","3015.0","0.0","43.0","248.697","3.547","12123198.0","61.77","0.515"
"BWA","Africa","Botswana","2020-12-01","10742.0","0.0","34.0","4567.905","14.458","2351625.0","69.59","0.717"
"BFA","Africa","Burkina Faso","2020-12-01","2931.0","45.0","68.0","140.217","3.253","20903278.0","61.58","0.423"
"BDI","Africa","Burundi","2020-12-01","689.0","1.0","1.0","57.944","0.084","11890781.0","61.58","0.417"
"CMR","Africa","Cameroon","2020-12-01","24487.0","42.0","441.0","922.441","16.613","26545864.0","59.29","0.556"
"CPV","Africa","Cape Verde","2020-12-01","10816.0","55.0","106.0","19453.657","190.652","555988.0","72.98","0.654"
"CAF","Africa","Central African Republic","2020-12-01","4918.0","5.0","63.0","1018.269","13.044","4829764.0","53.28","0.367"
"TCD","Africa","Chad","2020-12-01","1700.0","12.0","102.0","103.495","6.21","16425859.0","54.24","0.404"
"COM","Africa","Comoros","2020-12-01","613.0","2.0","7.0","704.926","8.05","869595.0","64.32","0.503"
"COG","Africa","Congo","2020-12-01","5774.0","0.0","94.0","1046.376","17.035","5518092.0","64.57","0.606"
"CIV","Africa","Cote d'Ivoire","2020-12-01","21334.0","3.0","132.0","808.772","5.004","26378275.0","57.78","0.492"
"COD","Africa","Democratic Republic of Congo","2020-12-01","12859.0","87.0","335.0","143.577","3.74","89561404.0","60.68","0.457"
"DJI","Africa","Djibouti","2020-12-01","5680.0","1.0","61.0","5748.976","61.741","988002.0","67.11","0.476"
"EGY","Africa","Egypt","2020-12-01","116303.0","392.0","6666.0","1136.5","65.139","102334403.0","71.99","0.696"
"GNQ","Africa","Equatorial Guinea","2020-12-01","5156.0","3.0","85.0","3675.021","60.585","1402985.0","58.74","0.591"
"ERI","Africa","Eritrea","2020-12-01","577.0","0.0",,"162.699",,"3546427.0","66.32","0.44"
"ETH","Africa","Ethiopia","2020-12-01","110554.0","480.0","1709.0","961.644","14.866","114963583.0","66.6","0.463"
"GAB","Africa","Gabon","2020-12-01","9214.0","0.0","60.0","4139.769","26.957","2225728.0","66.47","0.702"
"GMB","Africa","Gambia","2020-12-01","3743.0","1.0","123.0","1548.829","50.897","2416664.0","62.05","0.46"
"GHA","Africa","Ghana","2020-12-01","51667.0","0.0","323.0","1662.765","10.395","31072945.0","64.07","0.592"
"GIN","Africa","Guinea","2020-12-01","13119.0","0.0","76.0","998.95","5.787","13132792.0","61.6","0.459"
"GNB","Africa","Guinea-Bissau","2020-12-01","2441.0","0.0","44.0","1240.347","22.358","1967998.0","58.32","0.455"
