"country code","continent","country","date","total_cases","new_cases","total deaths","total cases per million","total deaths per million","population","life expectancy","human development index"
"NGA","Africa","Nigeria","2020-12-01",,,,,,"206139587.0","54.69","0.532"
"RWA","Africa","Rwanda","2020-12-01",,,,,,"12952209.0","69.02","0.524"
"BHR","Asia","Bahrain","2020-12-01",,,,,,"1701583.0","77.29","0.846"
"IDN","Asia","Indonesia","2020-12-01",,,,,,"273523621.0","71.72","0.694"
"PAK","Asia","Pakistan","2020-12-01",,,,,,"220892331.0","67.27","0.562"
"KOR","Asia","South Korea","2020-12-01",,,,,,"51269183.0","83.03","0.903"
"ARE","Asia","United Arab Emirates","2020-12-01",,,,,,"9890400.0","77.97","0.863"
"BGR","Europe","Bulgaria","2020-12-01",,,,,,"6948445.0","75.05","0.813"
"HRV","Europe","Croatia","2020-12-01",,,,,,"4105268.0","78.49","0.831"
"HUN","Europe","Hungary","2020-12-01",,,,,,"9660350.0","76.88","0.838"
"LVA","Europe","Latvia","2020-12-01",,,,,,"1886202.0","75.29","0.847"
"ROU","Europe","Romania","2020-12-01",,,,,,"19237682.0","76.05","0.811"
"UKR","Europe","Ukraine","2020-12-01",,,,,,"43733759.0","72.06","0.751"
"NZL","Oceania","New Zealand","2020-12-01",,,,,,"4822233.0","82.29","0.917"
