country,date,total cases
United States,2021-03-25,30079282.0
Brazil,2021-03-25,12320169.0
India,2021-03-25,11846652.0
France,2021-03-25,4484659.0
Russia,2021-03-25,4442492.0
United Kingdom,2021-03-25,4332922.0
Italy,2021-03-25,3464543.0
Spain,2021-03-25,3247738.0
Turkey,2021-03-25,3120013.0
Germany,2021-03-25,2744608.0
