"country code","continent","country","date","total_cases","new_cases","total deaths","total cases per million","total deaths per million","population","life expectancy","human development index"
"DZA","Africa","Algeria","2021-01-22","105124.0","272.0","2856.0","2397.298","65.13",,"1.9","76.88"
"AGO","Africa","Angola","2021-01-22","19269.0","92.0","452.0","586.285","13.753",,,"61.15"
"BEN","Africa","Benin","2021-01-22","3643.0","61.0","48.0","300.498","3.959",,"0.5","61.77"
"BWA","Africa","Botswana","2021-01-22","19654.0","0.0","105.0","8357.625","44.65",,"1.8","69.59"
"BFA","Africa","Burkina Faso","2021-01-22","9857.0","138.0","107.0","471.553","5.119",,"0.4","61.58"
"BDI","Africa","Burundi","2021-01-22","1380.0","22.0","2.0","116.056","0.168",,"0.8","61.58"
"CMR","Africa","Cameroon","2021-01-22","28010.0","0.0","455.0","1055.155","17.14",,"1.3","59.29"
"CPV","Africa","Cape Verde","2021-01-22","13381.0","74.0","122.0","24067.066","219.429",,"2.1","72.98"
"CAF","Africa","Central African Republic","2021-01-22","4974.0","0.0","63.0","1029.864","13.044",,"1.0","53.28"
"TCD","Africa","Chad","2021-01-22","3104.0","39.0","115.0","188.97","7.001",,,"54.24"
"COM","Africa","Comoros","2021-01-22","2160.0","225.0","63.0","2483.915","72.448",,"2.2","64.32"
"COG","Africa","Congo","2021-01-22","7794.0","0.0","117.0","1412.445","21.203",,,"64.57"
"CIV","Africa","Cote d'Ivoire","2021-01-22","26315.0","564.0","143.0","997.601","5.421",,,"57.78"
"COD","Africa","Democratic Republic of Congo","2021-01-22","21597.0","199.0","647.0","241.142","7.224",,,"60.68"
"DJI","Africa","Djibouti","2021-01-22","5917.0","1.0","61.0","5988.854","61.741",,"1.4","67.11"
"EGY","Africa","Egypt","2021-01-22","160463.0","748.0","8853.0","1568.026","86.51",,"1.6","71.99"
"GNQ","Africa","Equatorial Guinea","2021-01-22","5401.0","36.0","86.0","3849.649","61.298",,"2.1","58.74"
"ERI","Africa","Eritrea","2021-01-22","1940.0","27.0","6.0","547.029","1.692",,"0.7","66.32"
"SWZ","Africa","Eswatini","2021-01-22","14219.0","202.0","458.0","12256.026","394.772",,"2.1","60.19"
"ETH","Africa","Ethiopia","2021-01-22","132881.0","555.0","2060.0","1155.853","17.919",,"0.3","66.6"
"GAB","Africa","Gabon","2021-01-22","10278.0","158.0","67.0","4617.815","30.103",,"6.3","66.47"
"GMB","Africa","Gambia","2021-01-22","3958.0","8.0","128.0","1637.795","52.966",,"1.1","62.05"
"GHA","Africa","Ghana","2021-01-22","59480.0","0.0","361.0","1914.205","11.618",,"0.9","64.07"
"GIN","Africa","Guinea","2021-01-22","14262.0","26.0","81.0","1085.984","6.168",,"0.3","61.6"
"GNB","Africa","Guinea-Bissau","2021-01-22","2510.0","0.0","45.0","1275.408","22.866",,,"58.32"
"KEN","Africa","Kenya","2021-01-22","99769.0","139.0","1740.0","1855.432","32.359",,"1.4","66.7"
"LSO","Africa","Lesotho","2021-01-22","7555.0","51.0","113.0","3526.663","52.748",,,"54.33"
"LBR","Africa","Liberia","2021-01-22","1912.0","11.0","84.0","378.039","16.608",,"0.8","64.1"
"LBY","Africa","Libya","2021-01-22","112540.0","794.0","1737.0","16378.3","252.791",,"3.7","72.91"
"MDG","Africa","Madagascar","2021-01-22","18301.0","0.0","273.0","660.9","9.859","37.04","0.2","67.04"
"MWI","Africa","Malawi","2021-01-22","17365.0","1316.0","445.0","907.739","23.262",,"1.3","64.26"
"MLI","Africa","Mali","2021-01-22","7937.0","26.0","321.0","391.934","15.851",,"0.1","59.31"
"MRT","Africa","Mauritania","2021-01-22","16322.0","56.0","413.0","3510.364","88.824",,,"64.92"
"MUS","Africa","Mauritius","2021-01-22","556.0","0.0","10.0","437.187","7.863",,"3.4","74.99"
"MAR","Africa","Morocco","2021-01-22","464844.0","1138.0","8105.0","12593.795","219.585",,"1.1","76.68"
"MOZ","Africa","Mozambique","2021-01-22","30848.0","623.0","290.0","986.964","9.278",,"0.7","60.85"
"NAM","Africa","Namibia","2021-01-22","31848.0","333.0","311.0","12534.063","122.397",,,"63.71"
"NER","Africa","Niger","2021-01-22","4308.0","41.0","150.0","177.968","6.197",,"0.3","62.42"
"NGA","Africa","Nigeria","2021-01-22","118138.0","1483.0","1490.0","573.097","7.228",,,"54.69"
"RWA","Africa","Rwanda","2021-01-22","12443.0","273.0","165.0","960.686","12.739",,,"69.02"
"STP","Africa","Sao Tome and Principe","2021-01-22","1182.0","11.0","17.0","5393.295","77.569",,"2.9","70.39"
"SEN","Africa","Senegal","2021-01-22","24209.0","300.0","561.0","1445.837","33.505",,,"67.94"
"SYC","Africa","Seychelles","2021-01-22","972.0","210.0","3.0","9884.076","30.506",,"3.6","73.4"
"SLE","Africa","Sierra Leone","2021-01-22","3093.0","12.0","77.0","387.74","9.653",,,"54.7"
"SOM","Africa","Somalia","2021-01-22","4744.0","0.0","130.0","298.492","8.18",,"0.9","57.4"
"ZAF","Africa","South Africa","2021-01-22","1392568.0","11761.0","40076.0","23479.999","675.719",,"2.32","64.13"
"SSD","Africa","South Sudan","2021-01-22","3788.0","0.0","64.0","338.404","5.717",,,"57.85"
"SDN","Africa","Sudan","2021-01-22","26279.0","0.0","1603.0","599.303","36.557",,"0.8","65.31"
"TZA","Africa","Tanzania","2021-01-22","509.0","0.0","21.0","8.521","0.352",,"0.7","65.46"
"TGO","Africa","Togo","2021-01-22","4545.0","40.0","74.0","548.997","8.939",,"0.7","61.04"
"TUN","Africa","Tunisia","2021-01-22","193273.0","2389.0","6092.0","16353.266","515.458",,"2.3","76.7"
"UGA","Africa","Uganda","2021-01-22","38935.0","129.0","317.0","851.206","6.93",,"0.5","63.37"
"ZMB","Africa","Zambia","2021-01-22","43333.0","1120.0","610.0","2357.11","33.181",,"2.0","63.89"
"ZWE","Africa","Zimbabwe","2021-01-22","30523.0","476.0","962.0","2053.633","64.725",,"1.7","61.49"
"AFG","Asia","Afghanistan","2021-01-22","54483.0","80.0","2370.0","1399.572","60.881",,"0.5","64.83"
"ARM","Asia","Armenia","2021-01-22","165711.0","183.0","3030.0","55922.347","1022.531",,"4.2","75.09"
"AZE","Asia","Azerbaijan","2021-01-22","228526.0","280.0","3064.0","22538.915","302.194",,"4.7","73.0"
"BHR","Asia","Bahrain","2021-01-22","99210.0","332.0","366.0","58304.532","215.094",,"2.0","77.29"
"BGD","Asia","Bangladesh","2021-01-22","530890.0","619.0","7981.0","3223.584","48.461",,"0.8","72.59"
"BTN","Asia","Bhutan","2021-01-22","851.0","1.0","1.0","1102.886","1.296",,"1.7","71.78"
"BRN","Asia","Brunei","2021-01-22","175.0","1.0","3.0","400.016","6.857",,"2.7","75.86"
"KHM","Asia","Cambodia","2021-01-22","456.0","0.0",,"27.274",,,"0.8","69.82"
"CHN","Asia","China","2021-01-22","98886.0","100.0","4803.0","68.703","3.337",,"4.34","76.91"
"GEO","Asia","Georgia","2021-01-22","251974.0","903.0","3022.0","63164.439","757.55",,"2.6","73.77"
"IND","Asia","India","2021-01-22","10639684.0","14256.0","153184.0","7709.891","111.003",,"0.53","69.66"
"IDN","Asia","Indonesia","2021-01-22","965283.0","13632.0","27453.0","3529.066","100.368",,"1.04","71.72"
"IRN","Asia","Iran","2021-01-22","1360852.0","6332.0","57225.0","16201.978","681.307",,"1.5","76.68"
"IRQ","Asia","Iraq","2021-01-22","612092.0","685.0","12984.0","15217.651","322.804","53.7","1.4","70.6"
"ISR","Asia","Israel","2021-01-22","589028.0","6159.0","4266.0","68052.13","492.863",,"2.99","82.97"
"JPN","Asia","Japan","2021-01-22","357174.0","5045.0","4980.0","2824.035","39.375",,"13.05","84.63"
"JOR","Asia","Jordan","2021-01-22","318911.0","730.0","4207.0","31256.162","412.324",,"1.4","74.53"
"KAZ","Asia","Kazakhstan","2021-01-22","222701.0","1648.0","2953.0","11860.493","157.269",,"6.7","73.6"
"KWT","Asia","Kuwait","2021-01-22","160367.0","533.0","952.0","37551.723","222.921",,"2.0","75.49"
"KGZ","Asia","Kyrgyzstan","2021-01-22","83796.0","211.0","1398.0","12843.891","214.279",,"4.5","71.45"
"LAO","Asia","Laos","2021-01-22","41.0","0.0",,"5.635",,,"1.5","67.92"
"LBN","Asia","Lebanon","2021-01-22","272461.0","3220.0","2208.0","39918.44","323.496",,"2.9","78.93"
"MYS","Asia","Malaysia","2021-01-22","176180.0","3631.0","660.0","5443.367","20.392",,"1.9","76.16"
"MDV","Asia","Maldives","2021-01-22","14830.0","65.0","50.0","27435.426","92.5",,,"78.92"
"MNG","Asia","Mongolia","2021-01-22","1611.0","19.0","2.0","491.414","0.61",,"7.0","69.87"
"MMR","Asia","Myanmar","2021-01-22","136591.0","425.0","3031.0","2510.412","55.707",,"0.9","67.13"
"NPL","Asia","Nepal","2021-01-22","268948.0","302.0","1986.0","9230.524","68.161",,"0.3","70.78"
"OMN","Asia","Oman","2021-01-22","132486.0","0.0","1517.0","25943.961","297.065",,"1.6","77.86"
"PAK","Asia","Pakistan","2021-01-22","530818.0","1927.0","11247.0","2403.062","50.916",,"0.6","67.27"
"PSE","Asia","Palestine","2021-01-22","154557.0","494.0","1769.0","30296.882","346.766",,,"74.05"
"PHL","Asia","Philippines","2021-01-22","509887.0","2170.0","10136.0","4653.057","92.498",,"1.0","71.23"
"QAT","Asia","Qatar","2021-01-22","148521.0","263.0","248.0","51550.818","86.079",,"1.2","80.23"
"SAU","Asia","Saudi Arabia","2021-01-22","365988.0","213.0","6346.0","10512.707","182.284",,"2.7","75.13"
"SGP","Asia","Singapore","2021-01-22","59250.0","15.0","29.0","10127.611","4.957",,"2.4","83.62"
"KOR","Asia","South Korea","2021-01-22","74692.0","430.0","1337.0","1456.86","26.078",,"12.27","83.03"
"LKA","Asia","Sri Lanka","2021-01-22","56863.0","787.0","278.0","2655.505","12.983",,"3.6","76.98"
"SYR","Asia","Syria","2021-01-22","13479.0","81.0","873.0","770.2","49.884","54.17","1.5","72.7"
"TWN","Asia","Taiwan","2021-01-22","881.0","0.0","7.0","36.991","0.294",,,"80.46"
"TJK","Asia","Tajikistan","2021-01-22","13308.0","0.0","90.0","1395.313","9.436",,"4.8","71.1"
"THA","Asia","Thailand","2021-01-22","13104.0","309.0","71.0","187.736","1.017",,"2.1","77.15"
"TLS","Asia","Timor","2021-01-22","53.0","0.0",,"40.199",,,"5.9","69.5"
"TUR","Asia","Turkey","2021-01-22","2418472.0","5967.0","24789.0","28675.584","293.921",,"2.81","77.69"
"ARE","Asia","United Arab Emirates","2021-01-22","270810.0","3552.0","776.0","27381.097","78.46",,"1.2","77.97"
"UZB","Asia","Uzbekistan","2021-01-22","78272.0","53.0","620.0","2338.628","18.524",,"4.0","71.72"
"VNM","Asia","Vietnam","2021-01-22","1548.0","2.0","35.0","15.903","0.36",,"2.6","75.4"
"YEM","Asia","Yemen","2021-01-22","2118.0","3.0","614.0","71.012","20.586",,"0.7","66.12"
"ALB","Europe","Albania","2021-01-22","70655.0","739.0","1303.0","24551.741","452.776",,"2.89","78.57"
"AND","Europe","Andorra","2021-01-22","9416.0","37.0","93.0","121866.304","1203.65",,,"83.73"
"AUT","Europe","Austria","2021-01-22","401886.0","2088.0","7330.0","44622.269","813.866",,"7.37","81.54"
"BLR","Europe","Belarus","2021-01-22","234111.0","1813.0","1628.0","24775.431","172.288",,"11.0","74.79"
"BEL","Europe","Belgium","2021-01-22","689271.0","2444.0","20675.0","59473.153","1783.925",,"5.64","81.63"
"BIH","Europe","Bosnia and Herzegovina","2021-01-22","119420.0","214.0","4555.0","36399.492","1388.375",,"3.5","77.4"
"BGR","Europe","Bulgaria","2021-01-22","214430.0","566.0","8799.0","30860.142","1266.326",,"7.454","75.05"
"HRV","Europe","Croatia","2021-01-22","227969.0","643.0","4770.0","55530.845","1161.922","47.22","5.54","78.49"
"CYP","Europe","Cyprus","2021-01-22","29758.0","122.0","179.0","33974.237","204.361",,"3.4","80.98"
"CZE","Europe","Czechia","2021-01-22","924847.0","7488.0","15130.0","86361.804","1412.833",,"6.63","79.38"
"DNK","Europe","Denmark","2021-01-22","193720.0","773.0","1942.0","33444.96","335.278",,"2.5","80.9"
"EST","Europe","Estonia","2021-01-22","39701.0","489.0","358.0","29928.257","269.875",,"4.69","78.74"
"FIN","Europe","Finland","2021-01-22","41915.0","350.0","644.0","7564.904","116.23",,"3.28","81.91"
"FRA","Europe","France","2021-01-22","3069695.0","23324.0","72788.0","47028.188","1115.123",,"5.98","82.66"
