"country code","continent","country","date","total_cases","new_cases","total deaths","total cases per million","total deaths per million","population","life expectancy","human development index"
"DZA","Africa","Algeria","2021-02-05","108629.0","248.0","2909.0","2477.227","66.338",,"6.73","0.7"
"AGO","Africa","Angola","2021-02-05","20030.0","34.0","474.0","609.439","14.422",,"3.94",
"BEN","Africa","Benin","2021-02-05","4193.0","74.0","55.0","345.866","4.537",,"0.99","0.6"
"BWA","Africa","Botswana","2021-02-05","23503.0","0.0","163.0","9994.366","69.314",,"4.81","5.7"
"BFA","Africa","Burkina Faso","2021-02-05","11143.0","90.0","132.0","533.074","6.315",,"2.42","1.6"
"BDI","Africa","Burundi","2021-02-05","1698.0","12.0","3.0","142.8","0.252",,"6.05",
"CMR","Africa","Cameroon","2021-02-05","30313.0","0.0","474.0","1141.91","17.856",,"7.2",
"CPV","Africa","Cape Verde","2021-02-05","14306.0","16.0","135.0","25730.771","242.811",,"2.42","2.1"
"CAF","Africa","Central African Republic","2021-02-05","4989.0","0.0","63.0","1032.97","13.044",,"6.1",
"TCD","Africa","Chad","2021-02-05","3450.0","17.0","124.0","210.035","7.549",,"6.1",
"COM","Africa","Comoros","2021-02-05","3001.0","26.0","105.0","3451.032","120.746",,"11.88","4.4"
"COG","Africa","Congo","2021-02-05","8060.0","0.0","122.0","1460.65","22.109",,"7.2","1.7"
"CIV","Africa","Cote d'Ivoire","2021-02-05","29295.0","193.0","160.0","1110.573","6.066",,"2.42",
"COD","Africa","Democratic Republic of Congo","2021-02-05","23371.0","149.0","678.0","260.949","7.57",,"6.1",
"DJI","Africa","Djibouti","2021-02-05","5941.0","5.0","63.0","6013.146","63.765",,"6.05","1.7"
"EGY","Africa","Egypt","2021-02-05","168597.0","540.0","9560.0","1647.51","93.419",,"17.31","0.2"
"GNQ","Africa","Equatorial Guinea","2021-02-05","5578.0","44.0","86.0","3975.809","61.298",,"7.78",
"ERI","Africa","Eritrea","2021-02-05","2326.0","17.0","7.0","655.871","1.974",,"6.05","0.2"
"SWZ","Africa","Eswatini","2021-02-05","16137.0","92.0","600.0","13909.24","517.168",,"3.94","1.7"
"ETH","Africa","Ethiopia","2021-02-05","140883.0","726.0","2136.0","1225.458","18.58",,"7.47","0.4"
"GAB","Africa","Gabon","2021-02-05","11457.0","328.0","71.0","5147.529","31.9",,"7.2",
"GMB","Africa","Gambia","2021-02-05","4184.0","0.0","132.0","1731.312","54.621",,"1.91","0.7"
"GHA","Africa","Ghana","2021-02-05","70046.0","791.0","449.0","2254.244","14.45",,"4.97","0.3"
"GIN","Africa","Guinea","2021-02-05","14629.0","0.0","84.0","1113.929","6.396",,"2.42",
"GNB","Africa","Guinea-Bissau","2021-02-05","2752.0","90.0","46.0","1398.375","23.374",,"2.42",
"KEN","Africa","Kenya","2021-02-05","101534.0","195.0","1776.0","1888.256","33.029",,"2.92","1.2"
"LSO","Africa","Lesotho","2021-02-05","9216.0","247.0","180.0","4302.015","84.024",,"3.94","0.4"
"LBR","Africa","Liberia","2021-02-05","1956.0","11.0","84.0","386.739","16.608",,"2.42","1.5"
"LBY","Africa","Libya","2021-02-05","122894.0","881.0","1936.0","17885.15","281.752",,"10.43",
"MDG","Africa","Madagascar","2021-02-05","19065.0","0.0","281.0","688.49","10.148",,"3.94",
"MWI","Africa","Malawi","2021-02-05","26360.0","476.0","779.0","1377.944","40.721",,"3.94","4.4"
"MLI","Africa","Mali","2021-02-05","8145.0","15.0","336.0","402.206","16.592",,"2.42","1.6"
"MRT","Africa","Mauritania","2021-02-05","16777.0","37.0","425.0","3608.221","91.405",,"2.42",
"MUS","Africa","Mauritius","2021-02-05","584.0","0.0","10.0","459.204","7.863",,"22.02","3.2"
"MAR","Africa","Morocco","2021-02-05","474379.0","712.0","8368.0","12852.122","226.71","1.11","7.14","0.8"
"MOZ","Africa","Mozambique","2021-02-05","43184.0","696.0","436.0","1381.648","13.95",,"3.3","5.1"
"NAM","Africa","Namibia","2021-02-05","34615.0","96.0","370.0","13623.04","145.617",,"3.94","9.7"
"NER","Africa","Niger","2021-02-05","4589.0","14.0","165.0","189.576","6.816",,"2.42","0.1"
"NGA","Africa","Nigeria","2021-02-05","137654.0","1624.0","1641.0","667.771","7.961",,"2.42","0.6"
"RWA","Africa","Rwanda","2021-02-05","16186.0","198.0","213.0","1249.671","16.445",,"4.28","4.7"
"STP","Africa","Sao Tome and Principe","2021-02-05","1346.0","48.0","18.0","6141.604","82.131",,"2.42",
"SEN","Africa","Senegal","2021-02-05","28106.0","373.0","666.0","1678.578","39.776",,"2.42","0.4"
