"country code","continent","country","date","total_cases","new_cases","total deaths","total cases per million","total deaths per million","population","life expectancy","human development index"
"DZA","Africa","Algeria","2021-02-07","109088.0","459.0","2914.0","2487.695","66.452",,"6.73","0.7"
"AGO","Africa","Angola","2021-02-07","20086.0","24.0","475.0","611.143","14.453",,"3.94",
"BEN","Africa","Benin","2021-02-07","4193.0","0.0","55.0","345.866","4.537",,"0.99","0.6"
"BWA","Africa","Botswana","2021-02-07","23503.0","0.0","163.0","9994.366","69.314",,"4.81","5.7"
"BFA","Africa","Burkina Faso","2021-02-07","11285.0","58.0","134.0","539.867","6.41",,"2.42","1.6"
"BDI","Africa","Burundi","2021-02-07","1723.0","6.0","3.0","144.902","0.252",,"6.05",
"CMR","Africa","Cameroon","2021-02-07","31394.0","0.0","474.0","1182.632","17.856",,"7.2",
"CPV","Africa","Cape Verde","2021-02-07","14423.0","43.0","135.0","25941.207","242.811",,"2.42","2.1"
"CAF","Africa","Central African Republic","2021-02-07","4989.0","0.0","63.0","1032.97","13.044",,"6.1",
"TCD","Africa","Chad","2021-02-07","3497.0","24.0","125.0","212.896","7.61",,"6.1",
"COM","Africa","Comoros","2021-02-07","3086.0","0.0","108.0","3548.778","124.196",,"11.88","4.4"
"COG","Africa","Congo","2021-02-07","8060.0","0.0","122.0","1460.65","22.109",,"7.2","1.7"
"CIV","Africa","Cote d'Ivoire","2021-02-07","29825.0","258.0","162.0","1130.665","6.141",,"2.42",
"COD","Africa","Democratic Republic of Congo","2021-02-07","23599.0","114.0","681.0","263.495","7.604",,"6.1",
"DJI","Africa","Djibouti","2021-02-07","5947.0","6.0","63.0","6019.219","63.765",,"6.05","1.7"
"EGY","Africa","Egypt","2021-02-07","169640.0","534.0","9651.0","1657.703","94.308",,"17.31","0.2"
"GNQ","Africa","Equatorial Guinea","2021-02-07","5578.0","0.0","86.0","3975.809","61.298",,"7.78",
"ERI","Africa","Eritrea","2021-02-07","2326.0","0.0","7.0","655.871","1.974",,"6.05","0.2"
"SWZ","Africa","Eswatini","2021-02-07","16204.0","23.0","604.0","13966.991","520.616",,"3.94","1.7"
"ETH","Africa","Ethiopia","2021-02-07","142338.0","885.0","2148.0","1238.114","18.684",,"7.47","0.4"
"GAB","Africa","Gabon","2021-02-07","11457.0","0.0","71.0","5147.529","31.9",,"7.2",
"GMB","Africa","Gambia","2021-02-07","4237.0","0.0","134.0","1753.243","55.448",,"1.91","0.7"
"GHA","Africa","Ghana","2021-02-07","70768.0","722.0","457.0","2277.48","14.707",,"4.97","0.3"
"GIN","Africa","Guinea","2021-02-07","14687.0","22.0","84.0","1118.346","6.396",,"2.42",
"GNB","Africa","Guinea-Bissau","2021-02-07","2780.0","8.0","46.0","1412.603","23.374",,"2.42",
"KEN","Africa","Kenya","2021-02-07","101819.0","129.0","1779.0","1893.557","33.085",,"2.92","1.2"
"LSO","Africa","Lesotho","2021-02-07","9380.0","0.0","183.0","4378.57","85.424",,"3.94","0.4"
"LBR","Africa","Liberia","2021-02-07","1956.0","0.0","84.0","386.739","16.608",,"2.42","1.5"
"LBY","Africa","Libya","2021-02-07","124026.0","1132.0","1953.0","18049.894","284.226",,"10.43",
"MDG","Africa","Madagascar","2021-02-07","19360.0","295.0","285.0","699.144","10.292",,"3.94",
"MWI","Africa","Malawi","2021-02-07","27195.0","320.0","856.0","1421.592","44.747",,"3.94","4.4"
"MLI","Africa","Mali","2021-02-07","8176.0","16.0","338.0","403.736","16.691",,"2.42","1.6"
"MRT","Africa","Mauritania","2021-02-07","16807.0","15.0","426.0","3614.673","91.62",,"2.42",
"MUS","Africa","Mauritius","2021-02-07","584.0","0.0","10.0","459.204","7.863",,"22.02","3.2"
"MAR","Africa","Morocco","2021-02-07","475355.0","389.0","8394.0","12878.564","227.415",,"7.14","0.8"
"MOZ","Africa","Mozambique","2021-02-07","44600.0","488.0","460.0","1426.952","14.717",,"3.3","5.1"
"NAM","Africa","Namibia","2021-02-07","34973.0","129.0","375.0","13763.934","147.585",,"3.94","9.7"
"NER","Africa","Niger","2021-02-07","4612.0","14.0","165.0","190.526","6.816",,"2.42","0.1"
"NGA","Africa","Nigeria","2021-02-07","139748.0","506.0","1667.0","677.929","8.087",,"2.42","0.6"
"RWA","Africa","Rwanda","2021-02-07","16451.0","114.0","220.0","1270.131","16.986",,"4.28","4.7"
"STP","Africa","Sao Tome and Principe","2021-02-07","1351.0","0.0","18.0","6164.418","82.131",,"2.42",
"SEN","Africa","Senegal","2021-02-07","28760.0","271.0","682.0","1717.637","40.731",,"2.42","0.4"
"SYC","Africa","Seychelles","2021-02-07","1513.0","9.0","7.0","15385.398","71.182",,"10.55","7.1"
"SLE","Africa","Sierra Leone","2021-02-07","3785.0","13.0","79.0","474.49","9.903",,"2.42","8.8"
"SOM","Africa","Somalia","2021-02-07","4862.0","8.0","134.0","305.917","8.431",,"6.05",
"ZAF","Africa","South Africa","2021-02-07","1476135.0","2435.0","46290.0","24889.017","780.493",,"5.52","8.1"
"SSD","Africa","South Sudan","2021-02-07","4355.0","0.0","66.0","389.057","5.896",,"10.43",
"SDN","Africa","Sudan","2021-02-07","29634.0","0.0","1835.0","675.815","41.848",,"15.67",
"TZA","Africa","Tanzania","2021-02-07","509.0","0.0","21.0","8.521","0.352",,"5.75","3.3"
"TGO","Africa","Togo","2021-02-07","5483.0","47.0","80.0","662.299","9.663",,"6.15","0.9"
"TUN","Africa","Tunisia","2021-02-07","217086.0","910.0","7214.0","18368.137","610.393",,"8.52","1.1"
"UGA","Africa","Uganda","2021-02-07","39848.0","27.0","327.0","871.166","7.149",,"2.5","3.4"
"ZMB","Africa","Zambia","2021-02-07","62633.0","1206.0","853.0","3406.938","46.399",,"3.94","3.1"
"ZWE","Africa","Zimbabwe","2021-02-07","34552.0","65.0","1326.0","2324.71","89.215",,"1.82","1.6"
"AFG","Asia","Afghanistan","2021-02-07","55335.0","5.0","2410.0","1421.458","61.909",,"9.59",
