"country code","continent","country","date","total_cases","new_cases","total deaths","total cases per million","total deaths per million","population","life expectancy","human development index"
"DZA","Africa","Algeria","2021-01-06","101120.0","247.0","2786.0","2305.988","63.533","43851043.0","76.88","0.754"
"AGO","Africa","Angola","2021-01-06","17864.0","108.0","413.0","543.536","12.566","32866268.0","61.15","0.581"
"BEN","Africa","Benin","2021-01-06","3304.0","0.0","44.0","272.535","3.629","12123198.0","61.77","0.515"
"BWA","Africa","Botswana","2021-01-06","15440.0","0.0","45.0","6565.673","19.136","2351625.0","69.59","0.717"
"BFA","Africa","Burkina Faso","2021-01-06","7563.0","221.0","89.0","361.809","4.258","20903278.0","61.58","0.423"
"BDI","Africa","Burundi","2021-01-06","884.0","42.0","2.0","74.343","0.168","11890781.0","61.58","0.417"
"CMR","Africa","Cameroon","2021-01-06","26848.0","0.0","448.0","1011.382","16.876","26545864.0","59.29","0.556"
"CPV","Africa","Cape Verde","2021-01-06","12052.0","69.0","113.0","21676.727","203.242","555988.0","72.98","0.654"
"CAF","Africa","Central African Republic","2021-01-06","4963.0","0.0","63.0","1027.586","13.044","4829764.0","53.28","0.367"
"TCD","Africa","Chad","2021-01-06","2328.0","39.0","105.0","141.728","6.392","16425859.0","54.24","0.404"
"COM","Africa","Comoros","2021-01-06","995.0","0.0","13.0","1144.211","14.949","869595.0","64.32","0.503"
"COG","Africa","Congo","2021-01-06","7127.0","20.0","108.0","1291.57","19.572","5518092.0","64.57","0.606"
"CIV","Africa","Cote d'Ivoire","2021-01-06","22963.0","108.0","138.0","870.527","5.232","26378275.0","57.78","0.492"
"COD","Africa","Democratic Republic of Congo","2021-01-06","18487.0","239.0","599.0","206.417","6.688","89561404.0","60.68","0.457"
"DJI","Africa","Djibouti","2021-01-06","5855.0","1.0","61.0","5926.101","61.741","988002.0","67.11","0.476"
"EGY","Africa","Egypt","2021-01-06","145590.0","1007.0","7975.0","1422.689","77.931","102334403.0","71.99","0.696"
"GNQ","Africa","Equatorial Guinea","2021-01-06","5286.0","7.0","86.0","3767.681","61.298","1402985.0","58.74","0.591"
"ERI","Africa","Eritrea","2021-01-06","1252.0","0.0","1.0","353.031","0.282","3546427.0","66.32","0.44"
"SWZ","Africa","Eswatini","2021-01-06","10539.0","201.0","261.0","9084.061","224.968","1160164.0","60.19","0.588"
"ETH","Africa","Ethiopia","2021-01-06","126786.0","545.0","1965.0","1102.836","17.092","114963583.0","66.6","0.463"
"GAB","Africa","Gabon","2021-01-06","9641.0","36.0","66.0","4331.616","29.653","2225728.0","66.47","0.702"
"GMB","Africa","Gambia","2021-01-06","3812.0","0.0","125.0","1577.381","51.724","2416664.0","62.05","0.46"
"GHA","Africa","Ghana","2021-01-06","55168.0","0.0","335.0","1775.435","10.781","31072945.0","64.07","0.592"
"GIN","Africa","Guinea","2021-01-06","13845.0","0.0","81.0","1054.231","6.168","13132792.0","61.6","0.459"
"GNB","Africa","Guinea-Bissau","2021-01-06","2455.0","0.0","45.0","1247.461","22.866","1967998.0","58.32","0.455"
"KEN","Africa","Kenya","2021-01-06","97398.0","271.0","1694.0","1811.338","31.504","53771300.0","66.7","0.59"
"LSO","Africa","Lesotho","2021-01-06","4137.0","931.0","73.0","1931.145","34.076","2142252.0","54.33","0.52"
"LBR","Africa","Liberia","2021-01-06","1779.0","0.0","83.0","351.743","16.411","5057677.0","64.1","0.435"
