"country code","continent","country","date","total_cases","new_cases","total deaths","total cases per million","total deaths per million","population","life expectancy","human development index"
"DZA","Africa","Algeria","2020-12-31","99610.0","299.0","2756.0","2271.554","62.849","43851043.0","76.88","0.754"
"AGO","Africa","Angola","2020-12-31","17553.0","120.0","405.0","534.073","12.323","32866268.0","61.15","0.581"
"BEN","Africa","Benin","2020-12-31","3251.0","0.0","44.0","268.164","3.629","12123198.0","61.77","0.515"
"BWA","Africa","Botswana","2020-12-31","14805.0","105.0","42.0","6295.647","17.86","2351625.0","69.59","0.717"
"BFA","Africa","Burkina Faso","2020-12-31","6707.0","76.0","85.0","320.859","4.066","20903278.0","61.58","0.423"
"BDI","Africa","Burundi","2020-12-31","818.0","9.0","2.0","68.793","0.168","11890781.0","61.58","0.417"
"CMR","Africa","Cameroon","2020-12-31","26277.0","0.0","448.0","989.872","16.876","26545864.0","59.29","0.556"
"CPV","Africa","Cape Verde","2020-12-31","11840.0","47.0","113.0","21295.424","203.242","555988.0","72.98","0.654"
"CAF","Africa","Central African Republic","2020-12-31","4963.0","0.0","63.0","1027.586","13.044","4829764.0","53.28","0.367"
"TCD","Africa","Chad","2020-12-31","2113.0","36.0","104.0","128.639","6.331","16425859.0","54.24","0.404"
"COM","Africa","Comoros","2020-12-31","823.0","58.0","10.0","946.418","11.5","869595.0","64.32","0.503"
"COG","Africa","Congo","2020-12-31","7107.0","199.0","108.0","1287.945","19.572","5518092.0","64.57","0.606"
"CIV","Africa","Cote d'Ivoire","2020-12-31","22490.0","124.0","137.0","852.596","5.194","26378275.0","57.78","0.492"
"COD","Africa","Democratic Republic of Congo","2020-12-31","17658.0","282.0","591.0","197.161","6.599","89561404.0","60.68","0.457"
"DJI","Africa","Djibouti","2020-12-31","5831.0","7.0","61.0","5901.81","61.741","988002.0","67.11","0.476"
"EGY","Africa","Egypt","2020-12-31","138062.0","1418.0","7631.0","1349.126","74.569","102334403.0","71.99","0.696"
"GNQ","Africa","Equatorial Guinea","2020-12-31","5277.0","13.0","86.0","3761.266","61.298","1402985.0","58.74","0.591"
"ERI","Africa","Eritrea","2020-12-31","1252.0","0.0","1.0","353.031","0.282","3546427.0","66.32","0.44"
"SWZ","Africa","Eswatini","2020-12-31","9358.0","212.0","205.0","8066.101","176.699","1160164.0","60.19","0.588"
"ETH","Africa","Ethiopia","2020-12-31","124264.0","408.0","1923.0","1080.899","16.727","114963583.0","66.6","0.463"
"GAB","Africa","Gabon","2020-12-31","9571.0","0.0","64.0","4300.166","28.755","2225728.0","66.47","0.702"
"GMB","Africa","Gambia","2020-12-31","3797.0","0.0","124.0","1571.174","51.31","2416664.0","62.05","0.46"
"GHA","Africa","Ghana","2020-12-31","54771.0","0.0","335.0","1762.659","10.781","31072945.0","64.07","0.592"
"GIN","Africa","Guinea","2020-12-31","13722.0","15.0","81.0","1044.865","6.168","13132792.0","61.6","0.459"
"GNB","Africa","Guinea-Bissau","2020-12-31","2452.0","0.0","45.0","1245.936","22.866","1967998.0","58.32","0.455"
"KEN","Africa","Kenya","2020-12-31","96458.0","207.0","1670.0","1793.857","31.057","53771300.0","66.7","0.59"
"LSO","Africa","Lesotho","2020-12-31","3094.0","0.0","51.0","1444.275","23.807","2142252.0","54.33","0.52"
"LBR","Africa","Liberia","2020-12-31","1779.0","0.0","83.0","351.743","16.411","5057677.0","64.1","0.435"
"LBY","Africa","Libya","2020-12-31","100277.0","342.0","1478.0","14593.627","215.098","6871287.0","72.91","0.706"
"MDG","Africa","Madagascar","2020-12-31","17714.0","0.0","261.0","639.702","9.425","27691019.0","67.04","0.519"
"MWI","Africa","Malawi","2020-12-31","6583.0","112.0","189.0","344.12","9.88","19129955.0","64.26","0.477"
"MLI","Africa","Mali","2020-12-31","7090.0","61.0","269.0","350.109","13.283","20250834.0","59.31","0.427"
"MRT","Africa","Mauritania","2020-12-31","14364.0","173.0","347.0","3089.258","74.629","4649660.0","64.92","0.52"
"MUS","Africa","Mauritius","2020-12-31","527.0","0.0","10.0","414.384","7.863","1271767.0","74.99","0.79"
"MAR","Africa","Morocco","2020-12-31","439193.0","1861.0","7388.0","11898.845","200.16","36910558.0","76.68","0.667"
"MOZ","Africa","Mozambique","2020-12-31","18642.0","157.0","166.0","596.44","5.311","31255435.0","60.85","0.437"
"NAM","Africa","Namibia","2020-12-31","23941.0","608.0","205.0","9422.193","80.68","2540916.0","63.71","0.647"
"NER","Africa","Niger","2020-12-31","3323.0","115.0","104.0","137.276","4.296","24206636.0","62.42","0.354"
"NGA","Africa","Nigeria","2020-12-31","87607.0","1031.0","1289.0","424.989","6.253","206139587.0","54.69","0.532"
"RWA","Africa","Rwanda","2020-12-31","8383.0","133.0","92.0","647.226","7.103","12952209.0","69.02","0.524"
