"country code","continent","country","date","total_cases","new_cases","total deaths","total cases per million","total deaths per million","population","life expectancy","human development index"
"DZA","Africa","Algeria","2021-05-01","122311.0","203.0","3261.0","2789.238","74.365",,"6.73","0.7"
"AGO","Africa","Angola","2021-05-01","26815.0","163.0","600.0","815.882","18.256",,"3.94",
"BEN","Africa","Benin","2021-05-01","7821.0","0.0","99.0","645.127","8.166",,"0.99","0.6"
"BWA","Africa","Botswana","2021-05-01","46934.0","0.0","712.0","19958.114","302.769",,"4.81","5.7"
"BFA","Africa","Burkina Faso","2021-05-01","13319.0","9.0","157.0","637.173","7.511",,"2.42","1.6"
"BDI","Africa","Burundi","2021-05-01","4018.0","23.0","6.0","337.909","0.505",,"6.05",
"CMR","Africa","Cameroon","2021-05-01","72250.0","0.0","1107.0","2721.705","41.701",,"7.2",
"CPV","Africa","Cape Verde","2021-05-01","24127.0","245.0","220.0","43394.821","395.692",,"2.42","2.1"
"CAF","Africa","Central African Republic","2021-05-01","6411.0","0.0","88.0","1327.394","18.22",,"6.1",
"TCD","Africa","Chad","2021-05-01","4824.0","7.0","170.0","293.683","10.35",,"6.1",
"COM","Africa","Comoros","2021-05-01","3838.0","4.0","146.0","4413.549","167.894",,"11.88","4.4"
"COG","Africa","Congo","2021-05-01","10678.0","0.0","144.0","1935.089","26.096",,"7.2","1.7"
"CIV","Africa","Cote d'Ivoire","2021-05-01","46114.0","78.0","286.0","1748.181","10.842",,"2.42",
"COD","Africa","Democratic Republic of Congo","2021-05-01","29904.0","51.0","768.0","333.894","8.575",,"6.1",
"DJI","Africa","Djibouti","2021-05-01","11121.0","21.0","145.0","11256.05","146.761",,"6.05","1.7"
"EGY","Africa","Egypt","2021-05-01","228584.0","1032.0","13402.0","2233.697","130.963",,"17.31","0.2"
"GNQ","Africa","Equatorial Guinea","2021-05-01","7694.0","0.0","112.0","5484.022","79.83",,"7.78",
"ERI","Africa","Eritrea","2021-05-01","3671.0","0.0","10.0","1035.126","2.82",,"6.05","0.2"
"SWZ","Africa","Eswatini","2021-05-01","18458.0","0.0","671.0","15909.82","578.367",,"3.94","1.7"
"ETH","Africa","Ethiopia","2021-05-01","258062.0","620.0","3709.0","2244.728","32.262",,"7.47","0.4"
"GAB","Africa","Gabon","2021-05-01","23075.0","0.0","139.0","10367.394","62.451",,"7.2",
"GMB","Africa","Gambia","2021-05-01","5898.0","0.0","174.0","2440.554","72.0",,"1.91","0.7"
"GHA","Africa","Ghana","2021-05-01","92601.0","39.0","779.0","2980.117","25.07",,"4.97","0.3"
"GIN","Africa","Guinea","2021-05-01","22247.0","32.0","144.0","1694.004","10.965",,"2.42",
"GNB","Africa","Guinea-Bissau","2021-05-01","3736.0","2.0","67.0","1898.376","34.045",,"2.42",
"KEN","Africa","Kenya","2021-05-01","160053.0","735.0","2744.0","2976.551","51.031",,"2.92","1.2"
"LSO","Africa","Lesotho","2021-05-01","10731.0","0.0","316.0","5009.215","147.508",,"3.94","0.4"
"LBR","Africa","Liberia","2021-05-01","2099.0","0.0","85.0","415.013","16.806",,"2.42","1.5"
"LBY","Africa","Libya","2021-05-01","177508.0","0.0","3029.0","25833.297","440.82",,"10.43",
