"country code","continent","country","date","total_cases","new_cases","total deaths","total cases per million","total deaths per million","population","life expectancy","human development index"
"DZA","Africa","Algeria","2021-01-25","105854.0","258.0","2866.0","2413.945","65.358",,"1.9","76.88"
"AGO","Africa","Angola","2021-01-25","19476.0","77.0","461.0","592.583","14.027",,,"61.15"
"BEN","Africa","Benin","2021-01-25","3643.0","0.0","48.0","300.498","3.959",,"0.5","61.77"
"BWA","Africa","Botswana","2021-01-25","20658.0","1004.0","124.0","8784.564","52.729","53.7","1.8","69.59"
"BFA","Africa","Burkina Faso","2021-01-25","10103.0","65.0","117.0","483.321","5.597",,"0.4","61.58"
"BDI","Africa","Burundi","2021-01-25","1479.0","7.0","2.0","124.382","0.168",,"0.8","61.58"
"CMR","Africa","Cameroon","2021-01-25","29617.0","0.0","462.0","1115.692","17.404","24.07","1.3","59.29"
"CPV","Africa","Cape Verde","2021-01-25","13557.0","68.0","127.0","24383.62","228.422","64.81","2.1","72.98"
"CAF","Africa","Central African Republic","2021-01-25","4980.0","0.0","63.0","1031.106","13.044",,"1.0","53.28"
"TCD","Africa","Chad","2021-01-25","3182.0","21.0","116.0","193.719","7.062",,,"54.24"
"COM","Africa","Comoros","2021-01-25","2350.0","82.0","76.0","2702.407","87.397",,"2.2","64.32"
"COG","Africa","Congo","2021-01-25","7887.0","93.0","117.0","1429.298","21.203",,,"64.57"
"CIV","Africa","Cote d'Ivoire","2021-01-25","27096.0","246.0","146.0","1027.209","5.535",,,"57.78"
"COD","Africa","Democratic Republic of Congo","2021-01-25","21954.0","85.0","661.0","245.128","7.38",,,"60.68"
"DJI","Africa","Djibouti","2021-01-25","5920.0","1.0","61.0","5991.891","61.741",,"1.4","67.11"
"EGY","Africa","Egypt","2021-01-25","162486.0","669.0","9012.0","1587.794","88.064",,"1.6","71.99"
"GNQ","Africa","Equatorial Guinea","2021-01-25","5454.0","53.0","86.0","3887.426","61.298",,"2.1","58.74"
"ERI","Africa","Eritrea","2021-01-25","1950.0","10.0","7.0","549.849","1.974",,"0.7","66.32"
"SWZ","Africa","Eswatini","2021-01-25","14622.0","138.0","493.0","12603.391","424.94","75.0","2.1","60.19"
"ETH","Africa","Ethiopia","2021-01-25","134132.0","365.0","2071.0","1166.735","18.014","40.74","0.3","66.6"
"GAB","Africa","Gabon","2021-01-25","10411.0","133.0","67.0","4677.571","30.103","47.22","6.3","66.47"
"GMB","Africa","Gambia","2021-01-25","4008.0","36.0","128.0","1658.485","52.966",,"1.1","62.05"
"GHA","Africa","Ghana","2021-01-25","62135.0","1341.0","372.0","1999.65","11.972","38.89","0.9","64.07"
"GIN","Africa","Guinea","2021-01-25","14375.0","56.0","81.0","1094.588","6.168",,"0.3","61.6"
"GNB","Africa","Guinea-Bissau","2021-01-25","2532.0","0.0","45.0","1286.587","22.866",,,"58.32"
"KEN","Africa","Kenya","2021-01-25","100052.0","69.0","1744.0","1860.695","32.434","59.26","1.4","66.7"
"LSO","Africa","Lesotho","2021-01-25","8044.0","388.0","134.0","3754.927","62.551","81.48",,"54.33"
"LBR","Africa","Liberia","2021-01-25","1927.0","13.0","84.0","381.005","16.608","35.19","0.8","64.1"
"LBY","Africa","Libya","2021-01-25","114429.0","741.0","1782.0","16653.212","259.34",,"3.7","72.91"
"MDG","Africa","Madagascar","2021-01-25","18743.0","0.0","279.0","676.862","10.075","37.04","0.2","67.04"
"MWI","Africa","Malawi","2021-01-25","19987.0","592.0","518.0","1044.801","27.078","51.85","1.3","64.26"
"MLI","Africa","Mali","2021-01-25","7995.0","12.0","324.0","394.799","15.999","27.78","0.1","59.31"
"MRT","Africa","Mauritania","2021-01-25","16421.0","24.0","417.0","3531.656","89.684",,,"64.92"
"MUS","Africa","Mauritius","2021-01-25","568.0","12.0","10.0","446.623","7.863",,"3.4","74.99"
"MAR","Africa","Morocco","2021-01-25","466626.0","337.0","8172.0","12642.074","221.4",,"1.1","76.68"
"MOZ","Africa","Mozambique","2021-01-25","32781.0","363.0","363.0","1048.81","11.614",,"0.7","60.85"
"NAM","Africa","Namibia","2021-01-25","32650.0","225.0","319.0","12849.697","125.545",,,"63.71"
"NER","Africa","Niger","2021-01-25","4353.0","0.0","151.0","179.827","6.238","31.48","0.3","62.42"
"NGA","Africa","Nigeria","2021-01-25","122996.0","1430.0","1507.0","596.664","7.311","58.33",,"54.69"
"RWA","Africa","Rwanda","2021-01-25","13311.0","336.0","177.0","1027.701","13.666",,,"69.02"
"STP","Africa","Sao Tome and Principe","2021-01-25","1189.0","1.0","17.0","5425.235","77.569",,"2.9","70.39"
"SEN","Africa","Senegal","2021-01-25","24993.0","266.0","582.0","1492.66","34.759","50.46",,"67.94"
"SYC","Africa","Seychelles","2021-01-25","1069.0","36.0","3.0","10870.449","30.506","63.89","3.6","73.4"
"SLE","Africa","Sierra Leone","2021-01-25","3173.0","34.0","77.0","397.769","9.653",,,"54.7"
"SOM","Africa","Somalia","2021-01-25","4754.0","0.0","130.0","299.121","8.18",,"0.9","57.4"
