"country code","continent","country","date","total_cases","new_cases","total deaths","total cases per million","total deaths per million","population","life expectancy","human development index"
"IND","Asia","India","2021-01-21",,,,,,,"0.53","69.66"
"ISR","Asia","Israel","2021-01-21",,,,,,,"2.99","82.97"
"TUR","Asia","Turkey","2021-01-21",,,,,,,"2.81","77.69"
"ARE","Asia","United Arab Emirates","2021-01-21",,,,,,,"1.2","77.97"
"AUT","Europe","Austria","2021-01-21",,,,,,,"7.37","81.54"
"BGR","Europe","Bulgaria","2021-01-21",,,,,,,"7.454","75.05"
"EST","Europe","Estonia","2021-01-21",,,,,,,"4.69","78.74"
"FIN","Europe","Finland","2021-01-21",,,,,,,"3.28","81.91"
"FRA","Europe","France","2021-01-21",,,,,,,"5.98","82.66"
"GRC","Europe","Greece","2021-01-21",,,,,,,"4.21","82.24"
"ITA","Europe","Italy","2021-01-21",,,,,,,"3.18","83.51"
"LVA","Europe","Latvia","2021-01-21",,,,,,,"5.57","75.29"
"ROU","Europe","Romania","2021-01-21",,,,,,,"6.892","76.05"
"SRB","Europe","Serbia","2021-01-21",,,,,,,"5.609","76.0"
"ESP","Europe","Spain","2021-01-21",,,,,,,"2.97","83.56"
"CAN","North America","Canada","2021-01-21",,,,,,,"2.5","82.43"
"MEX","North America","Mexico","2021-01-21",,,,,,,"1.38","75.05"
"USA","North America","United States","2021-01-21",,,,,,,"2.77","78.86"
"ARG","South America","Argentina","2021-01-21",,,,,,,"5.0","76.67"
"BRA","South America","Brazil","2021-01-21",,,,,,,"2.2","75.88"
"CHL","South America","Chile","2021-01-21",,,,,,,"2.11","80.18"
"OWID_WRL","World","World","2021-01-21",,,,,,,"2.705","72.58"
