"country code","continent","country","date","total_cases","new_cases","total deaths","total cases per million","total deaths per million","population","life expectancy","human development index"
"DZA","Africa","Algeria","2020-12-12","91638.0","517.0","2584.0","2089.756","58.927","43851043.0","76.88","0.754"
"AGO","Africa","Angola","2020-12-12","16161.0","100.0","366.0","491.72","11.136","32866268.0","61.15","0.581"
"BEN","Africa","Benin","2020-12-12","3090.0","0.0","44.0","254.883","3.629","12123198.0","61.77","0.515"
"BWA","Africa","Botswana","2020-12-12","12501.0","0.0","37.0","5315.899","15.734","2351625.0","69.59","0.717"
"BFA","Africa","Burkina Faso","2020-12-12","3894.0","315.0","71.0","186.287","3.397","20903278.0","61.58","0.423"
"BDI","Africa","Burundi","2020-12-12","728.0","5.0","1.0","61.224","0.084","11890781.0","61.58","0.417"
"CMR","Africa","Cameroon","2020-12-12","25143.0","56.0","443.0","947.153","16.688","26545864.0","59.29","0.556"
"CPV","Africa","Cape Verde","2020-12-12","11302.0","40.0","110.0","20327.777","197.846","555988.0","72.98","0.654"
"CAF","Africa","Central African Republic","2020-12-12","4936.0","0.0","63.0","1021.996","13.044","4829764.0","53.28","0.367"
"TCD","Africa","Chad","2020-12-12","1751.0","6.0","102.0","106.6","6.21","16425859.0","54.24","0.404"
"COM","Africa","Comoros","2020-12-12","628.0","11.0","7.0","722.175","8.05","869595.0","64.32","0.503"
"COG","Africa","Congo","2020-12-12","6049.0","0.0","99.0","1096.212","17.941","5518092.0","64.57","0.606"
"CIV","Africa","Cote d'Ivoire","2020-12-12","21639.0","21.0","133.0","820.334","5.042","26378275.0","57.78","0.492"
"COD","Africa","Democratic Republic of Congo","2020-12-12","14342.0","173.0","352.0","160.136","3.93","89561404.0","60.68","0.457"
"DJI","Africa","Djibouti","2020-12-12","5725.0","4.0","61.0","5794.523","61.741","988002.0","67.11","0.476"
"EGY","Africa","Egypt","2020-12-12","121089.0","478.0","6898.0","1183.268","67.406","102334403.0","71.99","0.696"
"GNQ","Africa","Equatorial Guinea","2020-12-12","5185.0","2.0","85.0","3695.692","60.585","1402985.0","58.74","0.591"
"ERI","Africa","Eritrea","2020-12-12","711.0","55.0",,"200.483",,"3546427.0","66.32","0.44"
"SWZ","Africa","Eswatini","2020-12-12","6714.0","29.0","127.0","5787.113","109.467","1160164.0","60.19","0.588"
"ETH","Africa","Ethiopia","2020-12-12","116297.0","515.0","1803.0","1011.599","15.683","114963583.0","66.6","0.463"
"GAB","Africa","Gabon","2020-12-12","9330.0","0.0","63.0","4191.887","28.305","2225728.0","66.47","0.702"
"GMB","Africa","Gambia","2020-12-12","3779.0","0.0","123.0","1563.726","50.897","2416664.0","62.05","0.46"
"GHA","Africa","Ghana","2020-12-12","52933.0","195.0","327.0","1703.508","10.524","31072945.0","64.07","0.592"
"GIN","Africa","Guinea","2020-12-12","13420.0","22.0","79.0","1021.87","6.015","13132792.0","61.6","0.459"
"GNB","Africa","Guinea-Bissau","2020-12-12","2444.0","0.0","44.0","1241.871","22.358","1967998.0","58.32","0.455"
"KEN","Africa","Kenya","2020-12-12","91526.0","548.0","1586.0","1702.135","29.495","53771300.0","66.7","0.59"
"LSO","Africa","Lesotho","2020-12-12","2250.0","36.0","44.0","1050.297","20.539","2142252.0","54.33","0.52"
"LBR","Africa","Liberia","2020-12-12","1676.0","0.0","83.0","331.377","16.411","5057677.0","64.1","0.435"
"LBY","Africa","Libya","2020-12-12","89880.0","0.0","1278.0","13080.519","185.991","6871287.0","72.91","0.706"
"MDG","Africa","Madagascar","2020-12-12","17587.0","114.0","259.0","635.116","9.353","27691019.0","67.04","0.519"
"MWI","Africa","Malawi","2020-12-12","6063.0","8.0","186.0","316.937","9.723","19129955.0","64.26","0.477"
"MLI","Africa","Mali","2020-12-12","5721.0","72.0","189.0","282.507","9.333","20250834.0","59.31","0.427"
"MRT","Africa","Mauritania","2020-12-12","10780.0","279.0","222.0","2318.449","47.745","4649660.0","64.92","0.52"
"MUS","Africa","Mauritius","2020-12-12","515.0","0.0","10.0","404.948","7.863","1271767.0","74.99","0.79"
"MAR","Africa","Morocco","2020-12-12","397597.0","3033.0","6589.0","10771.904","178.513","36910558.0","76.68","0.667"
"MOZ","Africa","Mozambique","2020-12-12","16812.0","132.0","140.0","537.89","4.479","31255435.0","60.85","0.437"
"NAM","Africa","Namibia","2020-12-12","16269.0","172.0","160.0","6402.809","62.969","2540916.0","63.71","0.647"
"NER","Africa","Niger","2020-12-12","2199.0","39.0","80.0","90.843","3.305","24206636.0","62.42","0.354"
"NGA","Africa","Nigeria","2020-12-12","72757.0","617.0","1194.0","352.95","5.792","206139587.0","54.69","0.532"
"RWA","Africa","Rwanda","2020-12-12","6528.0","100.0","56.0","504.007","4.324","12952209.0","69.02","0.524"
"STP","Africa","Sao Tome and Principe","2020-12-12","1009.0","0.0","17.0","4603.921","77.569","219161.0","70.39","0.589"
"SEN","Africa","Senegal","2020-12-12","17061.0","168.0","349.0","1018.936","20.843","16743930.0","67.94","0.505"
"SYC","Africa","Seychelles","2020-12-12","187.0","0.0",,"1901.566",,"98340.0","73.4","0.797"
"SLE","Africa","Sierra Leone","2020-12-12","2440.0","2.0","75.0","305.88","9.402","7976985.0","54.7","0.419"
"SOM","Africa","Somalia","2020-12-12","4579.0","0.0","121.0","288.11","7.613","15893219.0","57.4",
"ZAF","Africa","South Africa","2020-12-12","852965.0","7882.0","23106.0","14381.788","389.589","59308690.0","64.13","0.699"
"SSD","Africa","South Sudan","2020-12-12","3206.0","25.0","62.0","286.41","5.539","11193729.0","57.85","0.388"
"SDN","Africa","Sudan","2020-12-12","21147.0","303.0","1344.0","482.266","30.65","43849269.0","65.31","0.502"
"TZA","Africa","Tanzania","2020-12-12","509.0","0.0","21.0","8.521","0.352","59734213.0","65.46","0.538"
"TGO","Africa","Togo","2020-12-12","3221.0","19.0","66.0","389.069","7.972","8278737.0","61.04","0.503"
"TUN","Africa","Tunisia","2020-12-12","110393.0","1289.0","3836.0","9340.601","324.573","11818618.0","76.7","0.735"
"UGA","Africa","Uganda","2020-12-12","27071.0","702.0","220.0","591.832","4.81","45741000.0","63.37","0.516"
"ZMB","Africa","Zambia","2020-12-12","18217.0","56.0","366.0","990.918","19.909","18383956.0","63.89","0.588"
"ZWE","Africa","Zimbabwe","2020-12-12","11219.0","57.0","307.0","754.831","20.655","14862927.0","61.49","0.535"
"AFG","Asia","Afghanistan","2020-12-12","48229.0","113.0","1956.0","1238.917","50.246","38928341.0","64.83","0.498"
"ARM","Asia","Armenia","2020-12-12","147312.0","995.0","2462.0","49713.252","830.849","2963234.0","75.09","0.755"
"AZE","Asia","Azerbaijan","2020-12-12","171423.0","4268.0","1883.0","16906.997","185.715","10139175.0","73.0","0.757"
"BHR","Asia","Bahrain","2020-12-12","88965.0","145.0","348.0","52283.668","204.515","1701583.0","77.29","0.846"
"BGD","Asia","Bangladesh","2020-12-12","489178.0","1329.0","7020.0","2970.307","42.626","164689383.0","72.59","0.608"
"BTN","Asia","Bhutan","2020-12-12","437.0","1.0",,"566.347",,"771612.0","71.78","0.612"
"BRN","Asia","Brunei","2020-12-12","152.0","0.0","3.0","347.442","6.857","437483.0","75.86","0.853"
"KHM","Asia","Cambodia","2020-12-12","359.0","2.0",,"21.473",,"16718971.0","69.82","0.582"
"CHN","Asia","China","2020-12-12","94217.0","93.0","4749.0","65.459","3.299","1439323774.0","76.91","0.752"
"GEO","Asia","Georgia","2020-12-12","187006.0","3907.0","1744.0","46878.365","437.183","3989175.0","73.77","0.78"
"IND","Asia","India","2020-12-12","9857029.0","30254.0","143019.0","7142.752","103.637","1380004385.0","69.66","0.64"
"IDN","Asia","Indonesia","2020-12-12","611631.0","6388.0","18653.0","2236.118","68.195","273523621.0","71.72","0.694"
"IRN","Asia","Iran","2020-12-12","1100818.0","8411.0","51949.0","13106.076","618.492","83992953.0","76.68","0.798"
"IRQ","Asia","Iraq","2020-12-12","573622.0","1022.0","12565.0","14261.221","312.387","40222503.0","70.6","0.685"
