"country code","continent","country","date","total_cases","new_cases","total deaths","total cases per million","total deaths per million","population","life expectancy","human development index"
"DZA","Africa","Algeria","2021-05-15","125194.0","135.0","3366.0","2854.983","76.76","43851043.0","76.88","0.748"
"AGO","Africa","Angola","2021-05-15","30354.0","324.0","655.0","923.561","19.929","32866268.0","61.15","0.581"
"BEN","Africa","Benin","2021-05-15","7995.0","0.0","101.0","659.479","8.331","12123198.0","61.77","0.545"
"BWA","Africa","Botswana","2021-05-15","49656.0","0.0","761.0","21115.612","323.606","2351625.0","69.59","0.735"
"BFA","Africa","Burkina Faso","2021-05-15","13395.0","1.0","164.0","640.809","7.846","20903278.0","61.58","0.452"
"BDI","Africa","Burundi","2021-05-15","4290.0","8.0","6.0","360.784","0.505","11890781.0","61.58","0.433"
"CMR","Africa","Cameroon","2021-05-15","74946.0","0.0","1152.0","2823.265","43.397","26545864.0","59.29","0.563"
"CPV","Africa","Cape Verde","2021-05-15","27951.0","279.0","246.0","50272.668","442.456","555988.0","72.98","0.665"
"CAF","Africa","Central African Republic","2021-05-15","6866.0","0.0","95.0","1421.602","19.67","4829764.0","53.28","0.397"
"TCD","Africa","Chad","2021-05-15","4901.0","4.0","173.0","298.371","10.532","16425859.0","54.24","0.398"
"COM","Africa","Comoros","2021-05-15","3863.0","3.0","146.0","4442.298","167.894","869595.0","64.32","0.554"
"COG","Africa","Congo","2021-05-15","11343.0","0.0","148.0","2055.602","26.821","5518092.0","64.57","0.574"
"CIV","Africa","Cote d'Ivoire","2021-05-15","46535.0","0.0","295.0","1764.141","11.183","26378275.0","57.78","0.538"
"COD","Africa","Democratic Republic of Congo","2021-05-15","30546.0","35.0","776.0","341.062","8.664","89561404.0","60.68","0.48"
"DJI","Africa","Djibouti","2021-05-15","11414.0","12.0","151.0","11552.608","152.834","988002.0","67.11","0.524"
"EGY","Africa","Egypt","2021-05-15","244520.0","1203.0","14269.0","2389.421","139.435","102334403.0","71.99","0.707"
"GNQ","Africa","Equatorial Guinea","2021-05-15","7694.0","0.0","112.0","5484.022","79.83","1402985.0","58.74","0.592"
"ERI","Africa","Eritrea","2021-05-15","3844.0","22.0","12.0","1083.908","3.384","3546427.0","66.32","0.459"
"SWZ","Africa","Eswatini","2021-05-15","18519.0","8.0","671.0","15962.398","578.367","1160164.0","60.19","0.611"
"ETH","Africa","Ethiopia","2021-05-15","265832.0","419.0","3976.0","2312.315","34.585","114963583.0","66.6","0.485"
"GAB","Africa","Gabon","2021-05-15","23799.0","0.0","143.0","10692.681","64.249","2225728.0","66.47","0.703"
"GMB","Africa","Gambia","2021-05-15","5940.0","0.0","175.0","2457.934","72.414","2416664.0","62.05","0.496"
"GHA","Africa","Ghana","2021-05-15","93243.0","0.0","783.0","3000.778","25.199","31072945.0","64.07","0.611"
"GIN","Africa","Guinea","2021-05-15","22746.0","0.0","151.0","1732.0","11.498","13132792.0","61.6","0.477"
"GNB","Africa","Guinea-Bissau","2021-05-15","3746.0","1.0","67.0","1903.457","34.045","1967998.0","58.32","0.48"
"KEN","Africa","Kenya","2021-05-15","165379.0","267.0","3001.0","3075.6","55.81","53771300.0","66.7","0.601"
"LSO","Africa","Lesotho","2021-05-15","10782.0","4.0","320.0","5033.021","149.376","2142252.0","54.33","0.527"
"LBR","Africa","Liberia","2021-05-15","2114.0","0.0","85.0","417.978","16.806","5057677.0","64.1","0.48"
"LBY","Africa","Libya","2021-05-15","181179.0","0.0","3085.0","26367.549","448.97","6871287.0","72.91","0.724"
"MDG","Africa","Madagascar","2021-05-15","40005.0","117.0","754.0","1444.692","27.229","27691019.0","67.04","0.528"
"MWI","Africa","Malawi","2021-05-15","34210.0","10.0","1153.0","1788.295","60.272","19129955.0","64.26","0.483"
"MLI","Africa","Mali","2021-05-15","14176.0","13.0","511.0","700.021","25.234","20250834.0","59.31","0.434"
"MRT","Africa","Mauritania","2021-05-15","18806.0","25.0","457.0","4044.597","98.287","4649660.0","64.92","0.546"
"MUS","Africa","Mauritius","2021-05-15","1280.0","3.0","17.0","1006.474","13.367","1271767.0","74.99","0.804"
"MAR","Africa","Morocco","2021-05-15","514817.0","112.0","9098.0","13947.689","246.488","36910558.0","76.68","0.686"
"MOZ","Africa","Mozambique","2021-05-15","70410.0","49.0","826.0","2252.728","26.427","31255435.0","60.85","0.456"
"NAM","Africa","Namibia","2021-05-15","50949.0","216.0","705.0","20051.43","277.459","2540916.0","63.71","0.646"
"NER","Africa","Niger","2021-05-15","5330.0","4.0","192.0","220.188","7.932","24206636.0","62.42","0.394"
"NGA","Africa","Nigeria","2021-05-15","165702.0","41.0","2066.0","803.834","10.022","206139587.0","54.69","0.539"
"RWA","Africa","Rwanda","2021-05-15","26099.0","66.0","343.0","2015.023","26.482","12952209.0","69.02","0.543"
"STP","Africa","Sao Tome and Principe","2021-05-15","2327.0","3.0","35.0","10617.765","159.7","219161.0","70.39","0.625"
"SEN","Africa","Senegal","2021-05-15","40828.0","22.0","1124.0","2438.376","67.129","16743930.0","67.94","0.512"
"SYC","Africa","Seychelles","2021-05-15","9184.0","0.0","32.0","93390.279","325.402","98340.0","73.4","0.796"
"SLE","Africa","Sierra Leone","2021-05-15","4103.0","0.0","79.0","514.355","9.903","7976985.0","54.7","0.452"
"SOM","Africa","Somalia","2021-05-15","14486.0","0.0","753.0","911.458","47.379","15893219.0","57.4",
"ZAF","Africa","South Africa","2021-05-15","1611143.0","2750.0","55183.0","27165.378","930.437","59308690.0","64.13","0.709"
"SSD","Africa","South Sudan","2021-05-15","10652.0","1.0","115.0","951.604","10.274","11193729.0","57.85","0.433"
"SDN","Africa","Sudan","2021-05-15","34889.0","0.0","2446.0","795.658","55.782","43849269.0","65.31","0.51"
"TZA","Africa","Tanzania","2021-05-15","509.0","0.0","21.0","8.521","0.352","59734213.0","65.46","0.529"
"TGO","Africa","Togo","2021-05-15","13265.0","21.0","125.0","1602.298","15.099","8278737.0","61.04","0.515"
"TUN","Africa","Tunisia","2021-05-15","325832.0","552.0","11779.0","27569.382","996.648","11818618.0","76.7","0.74"
"UGA","Africa","Uganda","2021-05-15","42674.0","0.0","347.0","932.949","7.586","45741000.0","63.37","0.544"
