"country code","continent","country","date","total_cases","new_cases","total deaths","total cases per million","total deaths per million","population","life expectancy","human development index"
"DZA","Africa","Algeria","2021-02-27","112960.0","155.0","2979.0","2575.993","67.935",,"6.73","0.7"
"AGO","Africa","Angola","2021-02-27","20782.0","23.0","506.0","632.32","15.396",,"3.94",
"BEN","Africa","Benin","2021-02-27","5434.0","0.0","70.0","448.232","5.774",,"0.99","0.6"
"BWA","Africa","Botswana","2021-02-27","28371.0","0.0","310.0","12064.424","131.824",,"4.81","5.7"
"BFA","Africa","Burkina Faso","2021-02-27","11982.0","43.0","142.0","573.212","6.793",,"2.42","1.6"
"BDI","Africa","Burundi","2021-02-27","2181.0","38.0","3.0","183.419","0.252",,"6.05",
"CMR","Africa","Cameroon","2021-02-27","35714.0","0.0","551.0","1345.37","20.757",,"7.2",
"CPV","Africa","Cape Verde","2021-02-27","15324.0","71.0","147.0","27561.746","264.394",,"2.42","2.1"
"CAF","Africa","Central African Republic","2021-02-27","5004.0","0.0","63.0","1036.075","13.044",,"6.1",
"TCD","Africa","Chad","2021-02-27","3973.0","16.0","140.0","241.875","8.523",,"6.1",
"COM","Africa","Comoros","2021-02-27","3571.0","13.0","144.0","4106.509","165.594",,"11.88","4.4"
"COG","Africa","Congo","2021-02-27","8820.0","0.0","128.0","1598.379","23.196",,"7.2","1.7"
"CIV","Africa","Cote d'Ivoire","2021-02-27","32631.0","153.0","192.0","1237.041","7.279",,"2.42",
"COD","Africa","Democratic Republic of Congo","2021-02-27","25792.0","101.0","707.0","287.981","7.894",,"6.1",
"DJI","Africa","Djibouti","2021-02-27","6065.0","3.0","63.0","6138.652","63.765",,"6.05","1.7"
"EGY","Africa","Egypt","2021-02-27","181829.0","588.0","10639.0","1776.812","103.963",,"17.31","0.2"
"GNQ","Africa","Equatorial Guinea","2021-02-27","6005.0","48.0","91.0","4280.16","64.862",,"7.78",
"ERI","Africa","Eritrea","2021-02-27","2847.0","0.0","7.0","802.78","1.974",,"6.05","0.2"
"SWZ","Africa","Eswatini","2021-02-27","17002.0","30.0","650.0","14654.825","560.266",,"3.94","1.7"
"ETH","Africa","Ethiopia","2021-02-27","158053.0","1006.0","2354.0","1374.809","20.476",,"7.47","0.4"
"GAB","Africa","Gabon","2021-02-27","14564.0","0.0","83.0","6543.477","37.291",,"7.2",
"GMB","Africa","Gambia","2021-02-27","4691.0","0.0","148.0","1941.106","61.241",,"1.91","0.7"
"GHA","Africa","Ghana","2021-02-27","82586.0","0.0","594.0","2657.811","19.116",,"4.97","0.3"
"GIN","Africa","Guinea","2021-02-27","15894.0","0.0","89.0","1210.253","6.777",,"2.42",
"GNB","Africa","Guinea-Bissau","2021-02-27","3247.0","6.0","48.0","1649.9","24.39",,"2.42",
"KEN","Africa","Kenya","2021-02-27","105648.0","181.0","1854.0","1964.766","34.479",,"2.92","1.2"
"LSO","Africa","Lesotho","2021-02-27","10491.0","0.0","292.0","4897.183","136.305",,"3.94","0.4"
