country,date,new cases
United States,2021-01-24,130485.0
United Kingdom,2021-01-24,30111.0
Brazil,2021-01-24,28323.0
Russia,2021-01-24,20800.0
France,2021-01-24,18436.0
India,2021-01-24,13203.0
Colombia,2021-01-24,12516.0
Indonesia,2021-01-24,11788.0
Portugal,2021-01-24,11721.0
Italy,2021-01-24,11628.0
