"country code","continent","country","date","total_cases","new_cases","total deaths","total cases per million","total deaths per million","population","life expectancy","human development index"
"DZA","Africa","Algeria","2021-02-14","110711.0","198.0","2939.0","2524.706","67.022",,"6.73","0.7"
"AGO","Africa","Angola","2021-02-14","20366.0","37.0","492.0","619.663","14.97",,"3.94",
"BEN","Africa","Benin","2021-02-14","4560.0","0.0","56.0","376.138","4.619",,"0.99","0.6"
"BWA","Africa","Botswana","2021-02-14","24926.0","0.0","202.0","10599.479","85.898",,"4.81","5.7"
"BFA","Africa","Burkina Faso","2021-02-14","11588.0","0.0","138.0","554.363","6.602",,"2.42","1.6"
"BDI","Africa","Burundi","2021-02-14","1824.0","0.0","3.0","153.396","0.252",,"6.05",
"CMR","Africa","Cameroon","2021-02-14","32098.0","0.0","479.0","1209.153","18.044",,"7.2",
"CPV","Africa","Cape Verde","2021-02-14","14741.0","41.0","139.0","26513.162","250.005",,"2.42","2.1"
"CAF","Africa","Central African Republic","2021-02-14","4996.0","0.0","63.0","1034.419","13.044",,"6.1",
"TCD","Africa","Chad","2021-02-14","3645.0","23.0","129.0","221.906","7.853",,"6.1",
"COM","Africa","Comoros","2021-02-14","3334.0","2.0","129.0","3833.969","148.345",,"11.88","4.4"
"COG","Africa","Congo","2021-02-14","8419.0","0.0","123.0","1525.709","22.29",,"7.2","1.7"
"CIV","Africa","Cote d'Ivoire","2021-02-14","31140.0","256.0","174.0","1180.517","6.596",,"2.42",
"COD","Africa","Democratic Republic of Congo","2021-02-14","24295.0","55.0","693.0","271.266","7.738",,"6.1",
"DJI","Africa","Djibouti","2021-02-14","5971.0","3.0","63.0","6043.51","63.765",,"6.05","1.7"
"EGY","Africa","Egypt","2021-02-14","173813.0","611.0","9994.0","1698.481","97.66",,"17.31","0.2"
"GNQ","Africa","Equatorial Guinea","2021-02-14","5694.0","0.0","87.0","4058.49","62.011",,"7.78",
"ERI","Africa","Eritrea","2021-02-14","2429.0","0.0","7.0","684.915","1.974",,"6.05","0.2"
"SWZ","Africa","Eswatini","2021-02-14","16535.0","47.0","630.0","14252.295","543.027",,"3.94","1.7"
"ETH","Africa","Ethiopia","2021-02-14","147092.0","1388.0","2194.0","1279.466","19.084",,"7.47","0.4"
