"country code","continent","country","date","total_cases","new_cases","total deaths","total cases per million","total deaths per million","population","life expectancy","human development index"
"DZA","Africa","Algeria","2021-02-18","111418.0","171.0","2950.0","2540.829","67.273",,"6.73","0.7"
"AGO","Africa","Angola","2021-02-18","20452.0","52.0","498.0","622.279","15.152",,"3.94",
"BEN","Africa","Benin","2021-02-18","5143.0","0.0","65.0","424.228","5.362",,"0.99","0.6"
"BWA","Africa","Botswana","2021-02-18","26524.0","722.0","254.0","11279.009","108.01",,"4.81","5.7"
"BFA","Africa","Burkina Faso","2021-02-18","11703.0","31.0","139.0","559.864","6.65",,"2.42","1.6"
"BDI","Africa","Burundi","2021-02-18","1928.0","33.0","3.0","162.142","0.252",,"6.05",
"CMR","Africa","Cameroon","2021-02-18","33749.0","1651.0","523.0","1271.347","19.702",,"7.2",
"CPV","Africa","Cape Verde","2021-02-18","14885.0","37.0","142.0","26772.161","255.401",,"2.42","2.1"
"CAF","Africa","Central African Republic","2021-02-18","4997.0","0.0","63.0","1034.626","13.044",,"6.1",
"TCD","Africa","Chad","2021-02-18","3751.0","27.0","132.0","228.359","8.036",,"6.1",
"COM","Africa","Comoros","2021-02-18","3458.0","45.0","138.0","3976.564","158.695",,"11.88","4.4"
"COG","Africa","Congo","2021-02-18","8419.0","0.0","123.0","1525.709","22.29",,"7.2","1.7"
"CIV","Africa","Cote d'Ivoire","2021-02-18","31612.0","115.0","183.0","1198.41","6.938",,"2.42",
"COD","Africa","Democratic Republic of Congo","2021-02-18","24794.0","192.0","695.0","276.838","7.76",,"6.1",
"DJI","Africa","Djibouti","2021-02-18","6008.0","2.0","63.0","6080.959","63.765",,"6.05","1.7"
"EGY","Africa","Egypt","2021-02-18","176333.0","656.0","10201.0","1723.106","99.683",,"17.31","0.2"
"GNQ","Africa","Equatorial Guinea","2021-02-18","5747.0","53.0","88.0","4096.266","62.723",,"7.78",
"ERI","Africa","Eritrea","2021-02-18","2675.0","48.0","7.0","754.28","1.974",,"6.05","0.2"
"SWZ","Africa","Eswatini","2021-02-18","16709.0","36.0","640.0","14402.274","551.646",,"3.94","1.7"
"ETH","Africa","Ethiopia","2021-02-18","150179.0","871.0","2249.0","1306.318","19.563",,"7.47","0.4"
"GAB","Africa","Gabon","2021-02-18","13107.0","0.0","75.0","5888.86","33.697",,"7.2",
"GMB","Africa","Gambia","2021-02-18","4510.0","41.0","139.0","1866.209","57.517",,"1.91","0.7"
"GHA","Africa","Ghana","2021-02-18","78689.0","418.0","568.0","2532.396","18.28",,"4.97","0.3"
"GIN","Africa","Guinea","2021-02-18","15154.0","66.0","85.0","1153.905","6.472",,"2.42",
"GNB","Africa","Guinea-Bissau","2021-02-18","3025.0","26.0","46.0","1537.095","23.374",,"2.42",
"KEN","Africa","Kenya","2021-02-18","103615.0","283.0","1807.0","1926.957","33.605",,"2.92","1.2"
"LSO","Africa","Lesotho","2021-02-18","10455.0","80.0","285.0","4880.378","133.038",,"3.94","0.4"
"LBR","Africa","Liberia","2021-02-18","1985.0","0.0","85.0","392.473","16.806",,"2.42","1.5"
"LBY","Africa","Libya","2021-02-18","128740.0","392.0","2061.0","18735.937","299.944",,"10.43",
"MDG","Africa","Madagascar","2021-02-18","19598.0","0.0","292.0","707.738","10.545",,"3.94",
"MWI","Africa","Malawi","2021-02-18","29837.0","203.0","984.0","1559.7","51.438",,"3.94","4.4"
"MLI","Africa","Mali","2021-02-18","8256.0","0.0","342.0","407.687","16.888",,"2.42","1.6"
"MRT","Africa","Mauritania","2021-02-18","17058.0","17.0","433.0","3668.655","93.125",,"2.42",
"MUS","Africa","Mauritius","2021-02-18","603.0","0.0","10.0","474.143","7.863",,"22.02","3.2"
"MAR","Africa","Morocco","2021-02-18","480056.0","477.0","8524.0","13005.926","230.937",,"7.14","0.8"
"MOZ","Africa","Mozambique","2021-02-18","53527.0","898.0","571.0","1712.566","18.269",,"3.3","5.1"
"NAM","Africa","Namibia","2021-02-18","36680.0","240.0","394.0","14435.739","155.062",,"3.94","9.7"
"NER","Africa","Niger","2021-02-18","4718.0","3.0","170.0","194.905","7.023",,"2.42","0.1"
"NGA","Africa","Nigeria","2021-02-18","150246.0","877.0","1803.0","728.856","8.747",,"2.42","0.6"
"RWA","Africa","Rwanda","2021-02-18","17835.0","119.0","243.0","1376.985","18.761",,"4.28","4.7"
"STP","Africa","Sao Tome and Principe","2021-02-18","1548.0","13.0","20.0","7063.3","91.257",,"2.42",
"SEN","Africa","Senegal","2021-02-18","32099.0","328.0","781.0","1917.053","46.644",,"2.42","0.4"
"SYC","Africa","Seychelles","2021-02-18","2280.0","69.0","10.0","23184.869","101.688",,"10.55","7.1"
"SLE","Africa","Sierra Leone","2021-02-18","3829.0","4.0","79.0","480.006","9.903",,"2.42","8.8"
"SOM","Africa","Somalia","2021-02-18","5632.0","132.0","179.0","354.365","11.263",,"6.05",
"ZAF","Africa","South Africa","2021-02-18","1498766.0","2327.0","48708.0","25270.597","821.262",,"5.52","8.1"
"SSD","Africa","South Sudan","2021-02-18","6084.0","162.0","83.0","543.519","7.415",,"10.43",
"SDN","Africa","Sudan","2021-02-18","30115.0","37.0","1864.0","686.785","42.509",,"15.67",
"TZA","Africa","Tanzania","2021-02-18","509.0","0.0","21.0","8.521","0.352",,"5.75","3.3"
"TGO","Africa","Togo","2021-02-18","6085.0","78.0","81.0","735.015","9.784",,"6.15","0.9"
