"country code","continent","country","date","total_cases","new_cases","total deaths","total cases per million","total deaths per million","population","life expectancy","human development index"
"DZA","Africa","Algeria","2021-01-29","106887.0","277.0","2884.0","2437.502","65.768",,"6.73","0.7"
"AGO","Africa","Angola","2021-01-29","19723.0","51.0","464.0","600.099","14.118",,"3.94",
"BEN","Africa","Benin","2021-01-29","3786.0","0.0","48.0","312.294","3.959",,"0.99","0.6"
"BWA","Africa","Botswana","2021-01-29","21293.0","0.0","134.0","9054.59","56.982",,"4.81","5.7"
"BFA","Africa","Burkina Faso","2021-01-29","10423.0","46.0","120.0","498.63","5.741",,"2.42","1.6"
"BDI","Africa","Burundi","2021-01-29","1604.0","20.0","2.0","134.894","0.168",,"6.05",
"CMR","Africa","Cameroon","2021-01-29","29617.0","0.0","462.0","1115.692","17.404",,"7.2",
"CPV","Africa","Cape Verde","2021-01-29","13897.0","113.0","131.0","24995.144","235.617",,"2.42","2.1"
"CAF","Africa","Central African Republic","2021-01-29","4981.0","0.0","63.0","1031.313","13.044",,"6.1",
"TCD","Africa","Chad","2021-01-29","3321.0","25.0","118.0","202.181","7.184",,"6.1",
"COM","Africa","Comoros","2021-01-29","2646.0","48.0","89.0","3042.796","102.346",,"11.88","4.4"
"COG","Africa","Congo","2021-01-29","7887.0","0.0","117.0","1429.298","21.203",,"7.2","1.7"
"CIV","Africa","Cote d'Ivoire","2021-01-29","27934.0","240.0","152.0","1058.978","5.762",,"2.42",
"COD","Africa","Democratic Republic of Congo","2021-01-29","22455.0","133.0","665.0","250.722","7.425",,"6.1",
"DJI","Africa","Djibouti","2021-01-29","5930.0","1.0","62.0","6002.012","62.753",,"6.05","1.7"
"EGY","Africa","Egypt","2021-01-29","164871.0","589.0","9217.0","1611.1","90.067",,"17.31","0.2"
"GNQ","Africa","Equatorial Guinea","2021-01-29","5516.0","24.0","86.0","3931.617","61.298",,"7.78",
"ERI","Africa","Eritrea","2021-01-29","2135.0","50.0","7.0","602.014","1.974",,"6.05","0.2"
"SWZ","Africa","Eswatini","2021-01-29","15471.0","188.0","551.0","13335.184","474.933",,"3.94","1.7"
"ETH","Africa","Ethiopia","2021-01-29","136365.0","771.0","2087.0","1186.158","18.154",,"7.47","0.4"
"GAB","Africa","Gabon","2021-01-29","10748.0","212.0","68.0","4828.982","30.552",,"7.2",
"GMB","Africa","Gambia","2021-01-29","4019.0","0.0","128.0","1663.036","52.966",,"1.91","0.7"
"GHA","Africa","Ghana","2021-01-29","63883.0","0.0","390.0","2055.904","12.551",,"4.97","0.3"
"GIN","Africa","Guinea","2021-01-29","14451.0","16.0","82.0","1100.375","6.244",,"2.42",
"GNB","Africa","Guinea-Bissau","2021-01-29","2532.0","0.0","45.0","1286.587","22.866",,"2.42",
"KEN","Africa","Kenya","2021-01-29","100563.0","141.0","1753.0","1870.198","32.601",,"2.92","1.2"
"LSO","Africa","Lesotho","2021-01-29","8610.0","332.0","163.0","4019.135","76.088",,"3.94","0.4"
"LBR","Africa","Liberia","2021-01-29","1939.0","3.0","84.0","383.378","16.608",,"2.42","1.5"
"LBY","Africa","Libya","2021-01-29","117650.0","871.0","1842.0","17121.974","268.072",,"10.43",
"MDG","Africa","Madagascar","2021-01-29","18743.0","0.0","279.0","676.862","10.075",,"3.94",
"MWI","Africa","Malawi","2021-01-29","23020.0","716.0","643.0","1203.348","33.612",,"3.94","4.4"
"MLI","Africa","Mali","2021-01-29","8063.0","7.0","329.0","398.156","16.246",,"2.42","1.6"
"MRT","Africa","Mauritania","2021-01-29","16576.0","33.0","421.0","3564.992","90.544",,"2.42",
"MUS","Africa","Mauritius","2021-01-29","569.0","0.0","10.0","447.409","7.863",,"22.02","3.2"
"MAR","Africa","Morocco","2021-01-29","469990.0","851.0","8246.0","12733.213","223.405",,"7.14","0.8"
"MOZ","Africa","Mozambique","2021-01-29","37108.0","1275.0","356.0","1187.25","11.39",,"3.3","5.1"
"NAM","Africa","Namibia","2021-01-29","33696.0","237.0","342.0","13261.359","134.597",,"3.94","9.7"
"NER","Africa","Niger","2021-01-29","4489.0","15.0","159.0","185.445","6.568",,"2.42","0.1"
"NGA","Africa","Nigeria","2021-01-29","128674.0","1650.0","1577.0","624.208","7.65",,"2.42","0.6"
"RWA","Africa","Rwanda","2021-01-29","14784.0","255.0","188.0","1141.427","14.515",,"4.28","4.7"
"STP","Africa","Sao Tome and Principe","2021-01-29","1245.0","13.0","17.0","5680.755","77.569",,"2.42",
"SEN","Africa","Senegal","2021-01-29","25895.0","184.0","617.0","1546.531","36.849",,"2.42","0.4"
