"country code","continent","country","date","total_cases","new_cases","total deaths","total cases per million","total deaths per million","population","life expectancy","human development index"
"DZA","Africa","Algeria","2021-01-01","99897.0","287.0","2762.0","2278.099","62.986","43851043.0","76.88","0.754"
"AGO","Africa","Angola","2021-01-01","17568.0","15.0","405.0","534.53","12.323","32866268.0","61.15","0.581"
"BEN","Africa","Benin","2021-01-01","3251.0","0.0","44.0","268.164","3.629","12123198.0","61.77","0.515"
"BWA","Africa","Botswana","2021-01-01","14805.0","0.0","42.0","6295.647","17.86","2351625.0","69.59","0.717"
"BFA","Africa","Burkina Faso","2021-01-01","6828.0","121.0","85.0","326.647","4.066","20903278.0","61.58","0.423"
"BDI","Africa","Burundi","2021-01-01","822.0","4.0","2.0","69.129","0.168","11890781.0","61.58","0.417"
"CMR","Africa","Cameroon","2021-01-01","26848.0","571.0","448.0","1011.382","16.876","26545864.0","59.29","0.556"
"CPV","Africa","Cape Verde","2021-01-01","11872.0","32.0","113.0","21352.979","203.242","555988.0","72.98","0.654"
"CAF","Africa","Central African Republic","2021-01-01","4963.0","0.0","63.0","1027.586","13.044","4829764.0","53.28","0.367"
"TCD","Africa","Chad","2021-01-01","2141.0","28.0","104.0","130.343","6.331","16425859.0","54.24","0.404"
"COM","Africa","Comoros","2021-01-01","823.0","0.0","10.0","946.418","11.5","869595.0","64.32","0.503"
"COG","Africa","Congo","2021-01-01","7107.0","0.0","108.0","1287.945","19.572","5518092.0","64.57","0.606"
"CIV","Africa","Cote d'Ivoire","2021-01-01","22563.0","73.0","138.0","855.363","5.232","26378275.0","57.78","0.492"
"COD","Africa","Democratic Republic of Congo","2021-01-01","17849.0","191.0","591.0","199.293","6.599","89561404.0","60.68","0.457"
"DJI","Africa","Djibouti","2021-01-01","5840.0","9.0","61.0","5910.919","61.741","988002.0","67.11","0.476"
"EGY","Africa","Egypt","2021-01-01","139471.0","1409.0","7687.0","1362.895","75.116","102334403.0","71.99","0.696"
"GNQ","Africa","Equatorial Guinea","2021-01-01","5277.0","0.0","86.0","3761.266","61.298","1402985.0","58.74","0.591"
"ERI","Africa","Eritrea","2021-01-01","1252.0","0.0","1.0","353.031","0.282","3546427.0","66.32","0.44"
"SWZ","Africa","Eswatini","2021-01-01","9482.0","124.0","216.0","8172.982","186.181","1160164.0","60.19","0.588"
"ETH","Africa","Ethiopia","2021-01-01","124652.0","388.0","1937.0","1084.274","16.849","114963583.0","66.6","0.463"
"GAB","Africa","Gabon","2021-01-01","9571.0","0.0","64.0","4300.166","28.755","2225728.0","66.47","0.702"
"GMB","Africa","Gambia","2021-01-01","3800.0","3.0","124.0","1572.416","51.31","2416664.0","62.05","0.46"
"GHA","Africa","Ghana","2021-01-01","54930.0","159.0","335.0","1767.776","10.781","31072945.0","64.07","0.592"
"GIN","Africa","Guinea","2021-01-01","13738.0","16.0","81.0","1046.084","6.168","13132792.0","61.6","0.459"
"GNB","Africa","Guinea-Bissau","2021-01-01","2452.0","0.0","45.0","1245.936","22.866","1967998.0","58.32","0.455"
"KEN","Africa","Kenya","2021-01-01","96614.0","156.0","1681.0","1796.758","31.262","53771300.0","66.7","0.59"
"LSO","Africa","Lesotho","2021-01-01","3206.0","112.0","51.0","1496.556","23.807","2142252.0","54.33","0.52"
"LBR","Africa","Liberia","2021-01-01","1779.0","0.0","83.0","351.743","16.411","5057677.0","64.1","0.435"
"LBY","Africa","Libya","2021-01-01","100744.0","467.0","1487.0","14661.591","216.408","6871287.0","72.91","0.706"
"MDG","Africa","Madagascar","2021-01-01","17714.0","0.0","261.0","639.702","9.425","27691019.0","67.04","0.519"
