"country code","continent","country","date","total_cases","new_cases","total deaths","total cases per million","total deaths per million","population","life expectancy","human development index"
"DZA","Africa","Algeria","2021-03-08","114382.0","148.0","3018.0","2608.421","68.824",,"6.73","0.7"
"AGO","Africa","Angola","2021-03-08","21108.0","22.0","515.0","642.239","15.67",,"3.94",
"BEN","Africa","Benin","2021-03-08","6338.0","267.0","81.0","522.799","6.681",,"0.99","0.6"
"BWA","Africa","Botswana","2021-03-08","32912.0","1166.0","413.0","13995.429","175.623",,"4.81","5.7"
"BFA","Africa","Burkina Faso","2021-03-08","12181.0","0.0","143.0","582.732","6.841",,"2.42","1.6"
"BDI","Africa","Burundi","2021-03-08","2334.0","15.0","3.0","196.287","0.252",,"6.05",
"CMR","Africa","Cameroon","2021-03-08","36794.0","1080.0","566.0","1386.054","21.322",,"7.2",
"CPV","Africa","Cape Verde","2021-03-08","15806.0","24.0","154.0","28428.671","276.984",,"2.42","2.1"
"CAF","Africa","Central African Republic","2021-03-08","5021.0","0.0","63.0","1039.595","13.044",,"6.1",
"TCD","Africa","Chad","2021-03-08","4193.0","16.0","146.0","255.268","8.888",,"6.1",
"COM","Africa","Comoros","2021-03-08","3606.0","10.0","146.0","4146.758","167.894",,"11.88","4.4"
"COG","Africa","Congo","2021-03-08","9179.0","0.0","131.0","1663.437","23.74",,"7.2","1.7"
"CIV","Africa","Cote d'Ivoire","2021-03-08","35331.0","144.0","204.0","1339.398","7.734",,"2.42",
"COD","Africa","Democratic Republic of Congo","2021-03-08","26627.0","86.0","712.0","297.304","7.95",,"6.1",
"DJI","Africa","Djibouti","2021-03-08","6157.0","11.0","63.0","6231.769","63.765",,"6.05","1.7"
"EGY","Africa","Egypt","2021-03-08","187094.0","591.0","11038.0","1828.261","107.862",,"17.31","0.2"
"GNQ","Africa","Equatorial Guinea","2021-03-08","6371.0","42.0","96.0","4541.032","68.426",,"7.78",
"ERI","Africa","Eritrea","2021-03-08","2944.0","0.0","7.0","830.131","1.974",,"6.05","0.2"
"SWZ","Africa","Eswatini","2021-03-08","17188.0","4.0","658.0","14815.147","567.161",,"3.94","1.7"
"ETH","Africa","Ethiopia","2021-03-08","167133.0","995.0","2442.0","1453.791","21.242",,"7.47","0.4"
"GAB","Africa","Gabon","2021-03-08","16015.0","390.0","91.0","7195.399","40.885",,"7.2",
"GMB","Africa","Gambia","2021-03-08","4792.0","33.0","153.0","1982.899","63.31",,"1.91","0.7"
"GHA","Africa","Ghana","2021-03-08","86465.0","0.0","647.0","2782.646","20.822",,"4.97","0.3"
"GIN","Africa","Guinea","2021-03-08","16912.0","242.0","97.0","1287.769","7.386",,"2.42",
"GNB","Africa","Guinea-Bissau","2021-03-08","3312.0","0.0","49.0","1682.929","24.898",,"2.42",
"KEN","Africa","Kenya","2021-03-08","109164.0","337.0","1879.0","2030.154","34.944",,"2.92","1.2"
"LSO","Africa","Lesotho","2021-03-08","10523.0","0.0","308.0","4912.121","143.774",,"3.94","0.4"
"LBR","Africa","Liberia","2021-03-08","2024.0","0.0","85.0","400.184","16.806",,"2.42","1.5"
"LBY","Africa","Libya","2021-03-08","139658.0","1018.0","2288.0","20324.868","332.98",,"10.43",
"MDG","Africa","Madagascar","2021-03-08","20155.0","0.0","300.0","727.853","10.834",,"3.94",
"MWI","Africa","Malawi","2021-03-08","32469.0","27.0","1070.0","1697.286","55.933",,"3.94","4.4"
"MLI","Africa","Mali","2021-03-08","8613.0","33.0","358.0","425.316","17.678",,"2.42","1.6"
"MRT","Africa","Mauritania","2021-03-08","17340.0","18.0","442.0","3729.305","95.061",,"2.42",
