"country code","continent","country","date","total_cases","new_cases","total deaths","total cases per million","total deaths per million","population","life expectancy","human development index"
"DZA","Africa","Algeria","2021-01-28","106610.0","251.0","2881.0","2431.185","65.7",,"6.73","0.7"
"AGO","Africa","Angola","2021-01-28","19672.0","92.0","464.0","598.547","14.118",,"3.94",
"BEN","Africa","Benin","2021-01-28","3786.0","0.0","48.0","312.294","3.959",,"0.99","0.6"
"BWA","Africa","Botswana","2021-01-28","21293.0","635.0","134.0","9054.59","56.982",,"4.81","5.7"
"BFA","Africa","Burkina Faso","2021-01-28","10377.0","160.0","120.0","496.429","5.741",,"2.42","1.6"
"BDI","Africa","Burundi","2021-01-28","1584.0","42.0","2.0","133.212","0.168",,"6.05",
"CMR","Africa","Cameroon","2021-01-28","29617.0","0.0","462.0","1115.692","17.404",,"7.2",
"CPV","Africa","Cape Verde","2021-01-28","13784.0","62.0","131.0","24791.902","235.617",,"2.42","2.1"
"CAF","Africa","Central African Republic","2021-01-28","4981.0","1.0","63.0","1031.313","13.044",,"6.1",
"TCD","Africa","Chad","2021-01-28","3296.0","27.0","118.0","200.659","7.184",,"6.1",
"COM","Africa","Comoros","2021-01-28","2598.0","106.0","85.0","2987.598","97.747",,"11.88","4.4"
"COG","Africa","Congo","2021-01-28","7887.0","0.0","117.0","1429.298","21.203",,"7.2","1.7"
"CIV","Africa","Cote d'Ivoire","2021-01-28","27694.0","239.0","151.0","1049.879","5.724",,"2.42",
"COD","Africa","Democratic Republic of Congo","2021-01-28","22322.0","144.0","665.0","249.237","7.425",,"6.1",
"DJI","Africa","Djibouti","2021-01-28","5929.0","3.0","62.0","6001.0","62.753",,"6.05","1.7"
"EGY","Africa","Egypt","2021-01-28","164282.0","521.0","9169.0","1605.345","89.598",,"17.31","0.2"
"GNQ","Africa","Equatorial Guinea","2021-01-28","5492.0","0.0","86.0","3914.511","61.298",,"7.78",
"ERI","Africa","Eritrea","2021-01-28","2085.0","0.0","7.0","587.916","1.974",,"6.05","0.2"
"SWZ","Africa","Eswatini","2021-01-28","15283.0","232.0","538.0","13173.138","463.728",,"3.94","1.7"
"ETH","Africa","Ethiopia","2021-01-28","135594.0","549.0","2085.0","1179.452","18.136",,"7.47","0.4"
"GAB","Africa","Gabon","2021-01-28","10536.0","0.0","68.0","4733.732","30.552",,"7.2",
