"country code","continent","country","date","total_cases","new_cases","total deaths","total cases per million","total deaths per million","population","life expectancy","human development index"
"DZA","Africa","Algeria","2021-02-02","107841.0","263.0","2898.0","2459.257","66.087",,"6.73","0.7"
"AGO","Africa","Angola","2021-02-02","19900.0","71.0","468.0","605.484","14.24",,"3.94",
"BEN","Africa","Benin","2021-02-02","3893.0","0.0","52.0","321.12","4.289",,"0.99","0.6"
"BWA","Africa","Botswana","2021-02-02","22738.0","0.0","148.0","9669.059","62.935",,"4.81","5.7"
"BFA","Africa","Burkina Faso","2021-02-02","10904.0","136.0","126.0","521.641","6.028",,"2.42","1.6"
"BDI","Africa","Burundi","2021-02-02","1641.0","6.0","2.0","138.006","0.168",,"6.05",
"CMR","Africa","Cameroon","2021-02-02","30313.0","696.0","474.0","1141.91","17.856",,"7.2",
"CPV","Africa","Cape Verde","2021-02-02","14152.0","54.0","134.0","25453.787","241.012",,"2.42","2.1"
"CAF","Africa","Central African Republic","2021-02-02","4989.0","0.0","63.0","1032.97","13.044",,"6.1",
"TCD","Africa","Chad","2021-02-02","3404.0","19.0","121.0","207.234","7.366",,"6.1",
"COM","Africa","Comoros","2021-02-02","2848.0","37.0","100.0","3275.088","114.996",,"11.88","4.4"
"COG","Africa","Congo","2021-02-02","7887.0","0.0","117.0","1429.298","21.203",,"7.2","1.7"
"CIV","Africa","Cote d'Ivoire","2021-02-02","28607.0","132.0","158.0","1084.491","5.99",,"2.42",
"COD","Africa","Democratic Republic of Congo","2021-02-02","23043.0","201.0","675.0","257.287","7.537",,"6.1",
"DJI","Africa","Djibouti","2021-02-02","5935.0","3.0","63.0","6007.073","63.765",,"6.05","1.7"
"EGY","Africa","Egypt","2021-02-02","167013.0","521.0","9407.0","1632.032","91.924",,"17.31","0.2"
"GNQ","Africa","Equatorial Guinea","2021-02-02","5534.0","0.0","86.0","3944.447","61.298",,"7.78",
"ERI","Africa","Eritrea","2021-02-02","2267.0","132.0","7.0","639.235","1.974",,"6.05","0.2"
"SWZ","Africa","Eswatini","2021-02-02","15878.0","74.0","583.0","13685.996","502.515",,"3.94","1.7"
"ETH","Africa","Ethiopia","2021-02-02","138861.0","477.0","2116.0","1207.869","18.406",,"7.47","0.4"
"GAB","Africa","Gabon","2021-02-02","10952.0","0.0","68.0","4920.637","30.552",,"7.2",
"GMB","Africa","Gambia","2021-02-02","4139.0","0.0","131.0","1712.692","54.207",,"1.91","0.7"
"GHA","Africa","Ghana","2021-02-02","67782.0","772.0","424.0","2181.383","13.645",,"4.97","0.3"
"GIN","Africa","Guinea","2021-02-02","14555.0","0.0","83.0","1108.294","6.32",,"2.42",
"GNB","Africa","Guinea-Bissau","2021-02-02","2634.0","0.0","45.0","1338.416","22.866",,"2.42",
"KEN","Africa","Kenya","2021-02-02","101009.0","153.0","1766.0","1878.493","32.843",,"2.92","1.2"
"LSO","Africa","Lesotho","2021-02-02","8900.0","0.0","172.0","4154.507","80.289",,"3.94","0.4"
"LBR","Africa","Liberia","2021-02-02","1944.0","0.0","84.0","384.366","16.608",,"2.42","1.5"
"LBY","Africa","Libya","2021-02-02","120434.0","1032.0","1896.0","17527.139","275.931",,"10.43",
"MDG","Africa","Madagascar","2021-02-02","19065.0","0.0","281.0","688.49","10.148",,"3.94",
"MWI","Africa","Malawi","2021-02-02","24903.0","538.0","726.0","1301.78","37.951",,"3.94","4.4"
"MLI","Africa","Mali","2021-02-02","8111.0","11.0","333.0","400.527","16.444",,"2.42","1.6"
"MRT","Africa","Mauritania","2021-02-02","16689.0","27.0","423.0","3589.295","90.974",,"2.42",
"MUS","Africa","Mauritius","2021-02-02","583.0","1.0","10.0","458.417","7.863",,"22.02","3.2"
"MAR","Africa","Morocco","2021-02-02","472273.0","835.0","8309.0","12795.065","225.112",,"7.14","0.8"
"MOZ","Africa","Mozambique","2021-02-02","40260.0","800.0","403.0","1288.096","12.894",,"3.3","5.1"
"NAM","Africa","Namibia","2021-02-02","34270.0","102.0","355.0","13487.262","139.713",,"3.94","9.7"
"NER","Africa","Niger","2021-02-02","4548.0","11.0","162.0","187.882","6.692",,"2.42","0.1"
"NGA","Africa","Nigeria","2021-02-02","133552.0","1634.0","1613.0","647.872","7.825",,"2.42","0.6"
"RWA","Africa","Rwanda","2021-02-02","15688.0","229.0","205.0","1211.222","15.827",,"4.28","4.7"
"STP","Africa","Sao Tome and Principe","2021-02-02","1283.0","24.0","17.0","5854.144","77.569",,"2.42",
"SEN","Africa","Senegal","2021-02-02","27080.0","153.0","641.0","1617.303","38.283",,"2.42","0.4"
"SYC","Africa","Seychelles","2021-02-02","1243.0","20.0","5.0","12639.821","50.844",,"10.55","7.1"
"SLE","Africa","Sierra Leone","2021-02-02","3660.0","26.0","79.0","458.82","9.903",,"2.42","8.8"
"SOM","Africa","Somalia","2021-02-02","4784.0","0.0","130.0","301.009","8.18",,"6.05",
"ZAF","Africa","South Africa","2021-02-02","1458958.0","2649.0","44946.0","24599.397","757.832",,"5.52","8.1"
"SSD","Africa","South Sudan","2021-02-02","3929.0","0.0","64.0","351.0","5.717",,"10.43",
"SDN","Africa","Sudan","2021-02-02","29488.0","39.0","1829.0","672.486","41.711",,"15.67",
"TZA","Africa","Tanzania","2021-02-02","509.0","0.0","21.0","8.521","0.352",,"5.75","3.3"
"TGO","Africa","Togo","2021-02-02","5166.0","74.0","79.0","624.008","9.543",,"6.15","0.9"
"TUN","Africa","Tunisia","2021-02-02","211412.0","1367.0","6893.0","17888.047","583.232",,"8.52","1.1"
"UGA","Africa","Uganda","2021-02-02","39651.0","45.0","325.0","866.859","7.105",,"2.5","3.4"
"ZMB","Africa","Zambia","2021-02-02","56233.0","1191.0","794.0","3058.808","43.19",,"3.94","3.1"
"ZWE","Africa","Zimbabwe","2021-02-02","33814.0","266.0","1254.0","2275.057","84.371",,"1.82","1.6"
"AFG","Asia","Afghanistan","2021-02-02","55121.0","62.0","2405.0","1415.961","61.78",,"9.59",
"ARM","Asia","Armenia","2021-02-02","167231.0","143.0","3089.0","56435.3","1042.442",,"7.11","1.5"
"AZE","Asia","Azerbaijan","2021-02-02","230455.0","159.0","3141.0","22729.167","309.789",,"7.11","0.3"
"BHR","Asia","Bahrain","2021-02-02","104239.0","657.0","376.0","61260.015","220.971","10.23","16.52","5.8"
"BGD","Asia","Bangladesh","2021-02-02","536107.0","525.0","8149.0","3255.261","49.481",,"8.38","1.0"
"BTN","Asia","Bhutan","2021-02-02","859.0","0.0","1.0","1113.254","1.296",,"9.75",
"BRN","Asia","Brunei","2021-02-02","180.0","0.0","3.0","411.445","6.857",,"12.79","2.0"
"KHM","Asia","Cambodia","2021-02-02","466.0","0.0",,"27.873",,,"4.0","2.0"
"CHN","Asia","China","2021-02-02","100177.0","50.0","4820.0","69.6","3.349",,"9.74","1.9"
"GEO","Asia","Georgia","2021-02-02","259209.0","858.0","3208.0","64978.097","804.176",,"7.11","5.3"
"IND","Asia","India","2021-02-02","10777284.0","11039.0","154596.0","7809.601","112.026","0.3","10.39","1.9"
"IDN","Asia","Indonesia","2021-02-02","1099687.0","10379.0","30581.0","4020.446","111.804","0.24","6.32","2.8"
"IRN","Asia","Iran","2021-02-02","1431416.0","6820.0","58110.0","17042.096","691.844",,"9.59","0.8"
"IRQ","Asia","Iraq","2021-02-02","621755.0","1135.0","13068.0","15457.889","324.893",,"8.83",
"ISR","Asia","Israel","2021-02-02","659978.0","7732.0","4887.0","76249.191","564.609","58.83","6.74","15.4"
"JPN","Asia","Japan","2021-02-02","394269.0","2313.0","5952.0","3117.331","47.06",,"5.72","11.2"
"JOR","Asia","Jordan","2021-02-02","329194.0","1132.0","4334.0","32263.989","424.771",,"11.75",
"KAZ","Asia","Kazakhstan","2021-02-02","238364.0","1335.0","3047.0","12694.665","162.276",,"7.11","7.0"
"KWT","Asia","Kuwait","2021-02-02","166654.0","811.0","960.0","39023.895","224.795",,"15.84","2.7"
"KGZ","Asia","Kyrgyzstan","2021-02-02","84646.0","58.0","1414.0","12974.176","216.732",,"7.11","3.6"
"LAO","Asia","Laos","2021-02-02","44.0","0.0",,"6.048",,,"4.0","7.3"
"LBN","Asia","Lebanon","2021-02-02","305842.0","2770.0","3226.0","44809.113","472.643",,"12.71","26.9"
"MYS","Asia","Malaysia","2021-02-02","222628.0","3455.0","791.0","6878.453","24.439",,"16.74","1.0"
"MDV","Asia","Maldives","2021-02-02","16155.0","99.0","52.0","29886.669","96.2",,"9.19","2.1"
"MNG","Asia","Mongolia","2021-02-02","1859.0","27.0","2.0","567.064","0.61",,"4.82","5.5"
"MMR","Asia","Myanmar","2021-02-02","140354.0","0.0","3138.0","2579.572","57.673",,"4.61","6.3"
"NPL","Asia","Nepal","2021-02-02","271289.0","171.0","2030.0","9310.869","69.671",,"7.26","9.5"
"OMN","Asia","Oman","2021-02-02","134685.0","161.0","1532.0","26374.578","300.003",,"12.61","0.5"
"PAK","Asia","Pakistan","2021-02-02","549032.0","1384.0","11802.0","2485.519","53.429",,"8.35","2.8"
"PSE","Asia","Palestine","2021-02-02","159956.0","513.0","1849.0","31355.216","362.448",,"10.59",
"PHL","Asia","Philippines","2021-02-02","528853.0","1581.0","10874.0","4826.134","99.232",,"7.07","7.8"
"QAT","Asia","Qatar","2021-02-02","152095.0","375.0","249.0","52791.334","86.427",,"16.52","0.8"
"SAU","Asia","Saudi Arabia","2021-02-02","368639.0","310.0","6383.0","10588.855","183.346",,"17.72","1.8"
"SGP","Asia","Singapore","2021-02-02","59584.0","19.0","29.0","10184.702","4.957",,"10.99","5.2"
"KOR","Asia","South Korea","2021-02-02","79311.0","467.0","1441.0","1546.953","28.107",,"6.8","6.2"
"LKA","Asia","Sri Lanka","2021-02-02","65698.0","715.0","330.0","3068.1","15.411","0.55","10.68","0.3"
"SYR","Asia","Syria","2021-02-02","14142.0","46.0","929.0","808.084","53.084",,,
"TWN","Asia","Taiwan","2021-02-02","915.0","3.0","8.0","38.418","0.336",,,
"TJK","Asia","Tajikistan","2021-02-02","13308.0","0.0","90.0","1395.313","9.436",,"7.11",
"THA","Asia","Thailand","2021-02-02","21249.0","795.0","79.0","304.427","1.132",,"7.04","1.9"
"TLS","Asia","Timor","2021-02-02","75.0","5.0",,"56.885",,,"6.86","6.3"
"TUR","Asia","Turkey","2021-02-02","2492977.0","7795.0","26237.0","29558.982","311.09","2.64","12.13","14.1"
"ARE","Asia","United Arab Emirates","2021-02-02","309649.0","3310.0","866.0","31308.036","87.56",,"17.26","1.2"
"UZB","Asia","Uzbekistan","2021-02-02","78801.0","46.0","621.0","2354.433","18.554",,"7.57","1.3"
"VNM","Asia","Vietnam","2021-02-02","1882.0","32.0","35.0","19.335","0.36",,"6.0","1.0"
"YEM","Asia","Yemen","2021-02-02","2122.0","0.0","615.0","71.146","20.62",,"5.35","7.6"
"ALB","Europe","Albania","2021-02-02","79934.0","942.0","1398.0","27776.079","485.788",,"10.08","7.1"
"AND","Europe","Andorra","2021-02-02","10017.0","45.0","102.0","129644.729","1320.132",,"7.97","29.0"
"AUT","Europe","Austria","2021-02-02","416763.0","1241.0","7847.0","46274.094","871.269","2.32","6.35","28.4"
"BLR","Europe","Belarus","2021-02-02","249994.0","699.0","1737.0","26456.292","183.823",,"5.18","10.5"
"BEL","Europe","Belgium","2021-02-02","713271.0","1854.0","21173.0","61543.972","1826.894",,"4.29","25.1"
"BIH","Europe","Bosnia and Herzegovina","2021-02-02","122461.0","262.0","4737.0","37326.396","1443.849",,"10.08","30.2"
"BGR","Europe","Bulgaria","2021-02-02","220547.0","967.0","9178.0","31740.483","1320.871","0.66","5.81","30.1"
"HRV","Europe","Croatia","2021-02-02","232907.0","387.0","5071.0","56733.689","1235.242",,"5.59","34.3"
"CYP","Europe","Cyprus","2021-02-02","31124.0","128.0","202.0","35533.777","230.62",,"9.24","19.6"
"CZE","Europe","Czechia","2021-02-02","994514.0","7185.0","16545.0","92867.277","1544.965","2.75","6.82","30.5"
"DNK","Europe","Denmark","2021-02-02","200041.0","397.0","2161.0","34536.255","373.088",,"6.41","19.3"
"EST","Europe","Estonia","2021-02-02","44978.0","403.0","424.0","33906.278","319.629","3.03","4.02","24.5"
"FIN","Europe","Finland","2021-02-02","45784.0","302.0","684.0","8263.189","123.45","2.96","5.76","18.3"
"FRA","Europe","France","2021-02-02","3283645.0","23337.0","77383.0","50305.934","1185.519",,"4.77","30.1"
"DEU","Europe","Germany","2021-02-02","2240017.0","7690.0","58992.0","26735.635","704.097",,"8.31","28.2"
"GRC","Europe","Greece","2021-02-02","158716.0","1221.0","5851.0","15227.396","561.352","3.03","4.55","35.3"
"HUN","Europe","Hungary","2021-02-02","369288.0","578.0","12656.0","38227.186","1310.097",,"7.55","26.8"
"ISL","Europe","Iceland","2021-02-02","6011.0","2.0","29.0","17614.652","84.982",,"5.31","14.3"
"IRL","Europe","Ireland","2021-02-02","198424.0","871.0","3418.0","40184.73","692.212",,"3.28","23.0"
"ITA","Europe","Italy","2021-02-02","2570608.0","9651.0","89344.0","42516.214","1477.693","3.51","4.78","19.8"
"OWID_KOS","Europe","Kosovo","2021-02-02","60218.0","0.0","1498.0","31156.255","775.052",,,
"LVA","Europe","Latvia","2021-02-02","67427.0","775.0","1219.0","35747.497","646.272","1.42","4.91","25.6"
"LIE","Europe","Liechtenstein","2021-02-02","2497.0","0.0","52.0","65474.474","1363.505",,"7.77",
"LTU","Europe","Lithuania","2021-02-02","183444.0","546.0","2847.0","67385.889","1045.81","3.65","3.67","21.3"
