"country code","continent","country","date","total_cases","new_cases","total deaths","total cases per million","total deaths per million","population","life expectancy","human development index"
"DZA","Africa","Algeria","2020-12-27","98249.0","392.0","2728.0","2240.517","62.211","43851043.0","76.88","0.754"
"AGO","Africa","Angola","2020-12-27","17240.0","91.0","399.0","524.55","12.14","32866268.0","61.15","0.581"
"BEN","Africa","Benin","2020-12-27","3205.0","0.0","44.0","264.369","3.629","12123198.0","61.77","0.515"
"BWA","Africa","Botswana","2020-12-27","14025.0","0.0","40.0","5963.961","17.01","2351625.0","69.59","0.717"
"BFA","Africa","Burkina Faso","2020-12-27","6344.0","89.0","78.0","303.493","3.731","20903278.0","61.58","0.423"
"BDI","Africa","Burundi","2020-12-27","804.0","18.0","2.0","67.615","0.168","11890781.0","61.58","0.417"
"CMR","Africa","Cameroon","2020-12-27","26277.0","0.0","448.0","989.872","16.876","26545864.0","59.29","0.556"
"CPV","Africa","Cape Verde","2020-12-27","11714.0","16.0","112.0","21068.8","201.443","555988.0","72.98","0.654"
"CAF","Africa","Central African Republic","2020-12-27","4948.0","0.0","63.0","1024.481","13.044","4829764.0","53.28","0.367"
"TCD","Africa","Chad","2020-12-27","2005.0","19.0","104.0","122.064","6.331","16425859.0","54.24","0.404"
"COM","Africa","Comoros","2020-12-27","715.0","0.0","7.0","822.222","8.05","869595.0","64.32","0.503"
"COG","Africa","Congo","2020-12-27","6908.0","0.0","107.0","1251.882","19.391","5518092.0","64.57","0.606"
"CIV","Africa","Cote d'Ivoire","2020-12-27","22152.0","71.0","135.0","839.782","5.118","26378275.0","57.78","0.492"
"COD","Africa","Democratic Republic of Congo","2020-12-27","16839.0","76.0","579.0","188.016","6.465","89561404.0","60.68","0.457"
"DJI","Africa","Djibouti","2020-12-27","5813.0","8.0","61.0","5883.591","61.741","988002.0","67.11","0.476"
"EGY","Africa","Egypt","2020-12-27","132541.0","1226.0","7405.0","1295.175","72.361","102334403.0","71.99","0.696"
"GNQ","Africa","Equatorial Guinea","2020-12-27","5248.0","12.0","86.0","3740.596","61.298","1402985.0","58.74","0.591"
"ERI","Africa","Eritrea","2020-12-27","1039.0","47.0","1.0","292.971","0.282","3546427.0","66.32","0.44"
"SWZ","Africa","Eswatini","2020-12-27","8484.0","117.0","165.0","7312.759","142.221","1160164.0","60.19","0.588"
"ETH","Africa","Ethiopia","2020-12-27","122864.0","451.0","1909.0","1068.721","16.605","114963583.0","66.6","0.463"
"GAB","Africa","Gabon","2020-12-27","9497.0","0.0","64.0","4266.919","28.755","2225728.0","66.47","0.702"
"GMB","Africa","Gambia","2020-12-27","3793.0","2.0","123.0","1569.519","50.897","2416664.0","62.05","0.46"
"GHA","Africa","Ghana","2020-12-27","54401.0","115.0","333.0","1750.751","10.717","31072945.0","64.07","0.592"
"GIN","Africa","Guinea","2020-12-27","13674.0","28.0","80.0","1041.21","6.092","13132792.0","61.6","0.459"
"GNB","Africa","Guinea-Bissau","2020-12-27","2447.0","0.0","45.0","1243.396","22.866","1967998.0","58.32","0.455"
"KEN","Africa","Kenya","2020-12-27","95923.0","80.0","1658.0","1783.907","30.834","53771300.0","66.7","0.59"
"LSO","Africa","Lesotho","2020-12-27","2725.0","0.0","51.0","1272.026","23.807","2142252.0","54.33","0.52"
"LBR","Africa","Liberia","2020-12-27","1779.0","0.0","83.0","351.743","16.411","5057677.0","64.1","0.435"
"LBY","Africa","Libya","2020-12-27","98381.0","728.0","1436.0","14317.696","208.986","6871287.0","72.91","0.706"
"MDG","Africa","Madagascar","2020-12-27","17714.0","81.0","261.0","639.702","9.425","27691019.0","67.04","0.519"
"MWI","Africa","Malawi","2020-12-27","6354.0","11.0","188.0","332.149","9.828","19129955.0","64.26","0.477"
"MLI","Africa","Mali","2020-12-27","6629.0","55.0","253.0","327.345","12.493","20250834.0","59.31","0.427"
"MRT","Africa","Mauritania","2020-12-27","13642.0","126.0","324.0","2933.978","69.683","4649660.0","64.92","0.52"
"MUS","Africa","Mauritius","2020-12-27","527.0","0.0","10.0","414.384","7.863","1271767.0","74.99","0.79"
"MAR","Africa","Morocco","2020-12-27","432079.0","1517.0","7240.0","11706.109","196.15","36910558.0","76.68","0.667"
"MOZ","Africa","Mozambique","2020-12-27","18265.0","103.0","161.0","584.378","5.151","31255435.0","60.85","0.437"
"NAM","Africa","Namibia","2020-12-27","21923.0","525.0","191.0","8627.991","75.17","2540916.0","63.71","0.647"
"NER","Africa","Niger","2020-12-27","3110.0","53.0","96.0","128.477","3.966","24206636.0","62.42","0.354"
