"country code","continent","country","date","total_cases","new_cases","total deaths","total cases per million","total deaths per million","population","life expectancy","human development index"
"SOM","Africa","Somalia","2020-12-16","4579.0","0.0","121.0","288.11","7.613",,"9.831","0.9","57.4",
"ZAF","Africa","South Africa","2020-12-16","883687.0","10008.0","23827.0","14899.79","401.746",,"43.993","2.32","64.13","0.699"
"SSD","Africa","South Sudan","2020-12-16","3222.0","0.0","62.0","287.84","5.539",,,,"57.85","0.388"
"SDN","Africa","Sudan","2020-12-16","22082.0","218.0","1384.0","503.589","31.563",,"23.437","0.8","65.31","0.502"
"TZA","Africa","Tanzania","2020-12-16","509.0","0.0","21.0","8.521","0.352",,"47.953","0.7","65.46","0.538"
"TGO","Africa","Togo","2020-12-16","3315.0","20.0","66.0","400.423","7.972",,"10.475","0.7","61.04","0.503"
"TUN","Africa","Tunisia","2020-12-16","114547.0","1306.0","3997.0","9692.081","338.195",,"78.687","2.3","76.7","0.735"
"UGA","Africa","Uganda","2020-12-16","28733.0","565.0","225.0","628.167","4.919",,"21.222","0.5","63.37","0.516"
"ZMB","Africa","Zambia","2020-12-16","18456.0","28.0","369.0","1003.919","20.072",,"13.938","2.0","63.89","0.588"
"ZWE","Africa","Zimbabwe","2020-12-16","11749.0","227.0","313.0","790.49","21.059",,"36.791","1.7","61.49","0.535"
"AFG","Asia","Afghanistan","2020-12-16","49161.0","209.0","2011.0","1262.859","51.659",,"37.746","0.5","64.83","0.498"
"ARM","Asia","Armenia","2020-12-16","150218.0","1098.0","2556.0","50693.938","862.571",,"94.043","4.2","75.09","0.755"
"AZE","Asia","Azerbaijan","2020-12-16","187336.0","4077.0","2050.0","18476.454","202.186",,"83.241","4.7","73.0","0.757"
"BHR","Asia","Bahrain","2020-12-16","89600.0","156.0","349.0","52656.85","205.103",,,"2.0","77.29","0.846"
"BGD","Asia","Bangladesh","2020-12-16","495841.0","1632.0","7156.0","3010.765","43.451",,"34.808","0.8","72.59","0.608"
"BTN","Asia","Bhutan","2020-12-16","440.0","1.0",,"570.235",,,"79.807","1.7","71.78","0.612"
"BRN","Asia","Brunei","2020-12-16","152.0","0.0","3.0","347.442","6.857",,,"2.7","75.86","0.853"
"KHM","Asia","Cambodia","2020-12-16","362.0","0.0",,"21.652",,,"66.229","0.8","69.82","0.582"
"CHN","Asia","China","2020-12-16","94626.0","89.0","4757.0","65.743","3.305",,,"4.34","76.91","0.752"
"GEO","Asia","Georgia","2020-12-16","198387.0","3487.0","1922.0","49731.335","481.804",,,"2.6","73.77","0.78"
"IND","Asia","India","2020-12-16","9956557.0","24010.0","144451.0","7214.873","104.674",,"59.55","0.53","69.66","0.64"
"IDN","Asia","Indonesia","2020-12-16","636154.0","6725.0","19248.0","2325.774","70.371",,"64.204","1.04","71.72","0.694"
"IRN","Asia","Iran","2020-12-16","1131077.0","7603.0","52883.0","13466.332","629.612",,,"1.5","76.68","0.798"
"IRQ","Asia","Iraq","2020-12-16","578916.0","1553.0","12636.0","14392.839","314.153",,"94.576","1.4","70.6","0.685"
"ISR","Asia","Israel","2020-12-16","365042.0","4412.0","3034.0","42174.371","350.527",,,"2.99","82.97","0.903"
"JPN","Asia","Japan","2020-12-16","187751.0","2999.0","2623.0","1484.474","20.739",,,"13.05","84.63","0.909"
"JOR","Asia","Jordan","2020-12-16","267585.0","2561.0","3465.0","26225.75","339.601",,,"1.4","74.53","0.735"
"KAZ","Asia","Kazakhstan","2020-12-16","188837.0","947.0","2613.0","10056.982","139.162",,"98.999","6.7","73.6","0.8"
"KWT","Asia","Kuwait","2020-12-16","146971.0","261.0","913.0","34414.9","213.789",,,"2.0","75.49","0.803"
"KGZ","Asia","Kyrgyzstan","2020-12-16","78151.0","0.0","1317.0","11978.65","201.864",,"89.22","4.5","71.45","0.672"
"LAO","Asia","Laos","2020-12-16","41.0","0.0",,"5.635",,,"49.839","1.5","67.92","0.601"
"LBN","Asia","Lebanon","2020-12-16","150933.0","2056.0","1234.0","22113.293","180.794",,,"2.9","78.93","0.757"
"MYS","Asia","Malaysia","2020-12-16","87913.0","1295.0","429.0","2716.215","13.255",,,"1.9","76.16","0.802"
"MDV","Asia","Maldives","2020-12-16","13402.0","10.0","48.0","24793.633","88.8",,"95.803",,"78.92","0.717"
"MNG","Asia","Mongolia","2020-12-16","923.0","5.0",,"281.549",,,"71.18","7.0","69.87","0.741"
"MMR","Asia","Myanmar","2020-12-16","111900.0","1233.0","2346.0","2056.615","43.117",,"79.287","0.9","67.13","0.578"
"NPL","Asia","Nepal","2020-12-16","250916.0","736.0","1743.0","8611.65","59.821",,"47.782","0.3","70.78","0.574"
"OMN","Asia","Oman","2020-12-16","126835.0","116.0","1480.0","24837.358","289.82",,"97.4","1.6","77.86","0.821"
"PAK","Asia","Pakistan","2020-12-16","448522.0","2545.0","9080.0","2030.501","41.106",,"59.607","0.6","67.27","0.562"
"PSE","Asia","Palestine","2020-12-16","115606.0","2197.0","1048.0","22661.551","205.433",,,,"74.05","0.686"
"PHL","Asia","Philippines","2020-12-16","452988.0","1149.0","8833.0","4133.816","80.607",,"78.463","1.0","71.23","0.699"
"QAT","Asia","Qatar","2020-12-16","141417.0","145.0","242.0","49085.059","83.997",,,"1.2","80.23","0.856"
"SAU","Asia","Saudi Arabia","2020-12-16","360335.0","180.0","6080.0","10350.33","174.643",,,"2.7","75.13","0.853"
"SGP","Asia","Singapore","2020-12-16","58353.0","12.0","29.0","9974.287","4.957",,,"2.4","83.62","0.932"
"KOR","Asia","South Korea","2020-12-16","46453.0","1011.0","634.0","906.061","12.366",,,"12.27","83.03","0.903"
"LKA","Asia","Sri Lanka","2020-12-16","34737.0","616.0","160.0","1622.22","7.472",,,"3.6","76.98","0.77"
"SYR","Asia","Syria","2020-12-16","9603.0","151.0","554.0","548.722","31.656",,"70.598","1.5","72.7","0.536"
"TWN","Asia","Taiwan","2020-12-16","749.0","7.0","7.0","31.448","0.294",,,,"80.46",
"TJK","Asia","Tajikistan","2020-12-16","12815.0","38.0","89.0","1343.624","9.331",,"72.704","4.8","71.1","0.65"
"THA","Asia","Thailand","2020-12-16","4281.0","20.0","60.0","61.332","0.86",,"90.67","2.1","77.15","0.755"
"TLS","Asia","Timor","2020-12-16","31.0","0.0",,"23.513",,,"28.178","5.9","69.5","0.625"
"TUR","Asia","Turkey","2020-12-16","1928165.0","29718.0","17121.0","22862.062","203.002",,,"2.81","77.69","0.791"
"ARE","Asia","United Arab Emirates","2020-12-16","188545.0","1278.0","626.0","19063.435","63.294",,,"1.2","77.97","0.863"
