"country code","continent","country","date","total_cases","new_cases","total deaths","total cases per million","total deaths per million","population","life expectancy","human development index"
"DZA","Africa","Algeria","2021-02-08","109313.0","225.0","2918.0","2492.826","66.543",,"6.73","0.7"
"AGO","Africa","Angola","2021-02-08","20112.0","26.0","475.0","611.934","14.453",,"3.94",
"BEN","Africa","Benin","2021-02-08","4193.0","0.0","55.0","345.866","4.537",,"0.99","0.6"
"BWA","Africa","Botswana","2021-02-08","24435.0","932.0","179.0","10390.687","76.118",,"4.81","5.7"
"BFA","Africa","Burkina Faso","2021-02-08","11309.0","24.0","134.0","541.016","6.41",,"2.42","1.6"
"BDI","Africa","Burundi","2021-02-08","1728.0","5.0","3.0","145.323","0.252",,"6.05",
"CMR","Africa","Cameroon","2021-02-08","31394.0","0.0","474.0","1182.632","17.856",,"7.2",
"CPV","Africa","Cape Verde","2021-02-08","14451.0","28.0","136.0","25991.568","244.61",,"2.42","2.1"
"CAF","Africa","Central African Republic","2021-02-08","4989.0","0.0","63.0","1032.97","13.044",,"6.1",
"TCD","Africa","Chad","2021-02-08","3508.0","11.0","125.0","213.566","7.61",,"6.1",
"COM","Africa","Comoros","2021-02-08","3088.0","2.0","112.0","3551.078","128.796",,"11.88","4.4"
"COG","Africa","Congo","2021-02-08","8060.0","0.0","122.0","1460.65","22.109",,"7.2","1.7"
"CIV","Africa","Cote d'Ivoire","2021-02-08","29967.0","142.0","165.0","1136.049","6.255",,"2.42",
"COD","Africa","Democratic Republic of Congo","2021-02-08","23671.0","72.0","681.0","264.299","7.604",,"6.1",
"DJI","Africa","Djibouti","2021-02-08","5950.0","3.0","63.0","6022.255","63.765",,"6.05","1.7"
"EGY","Africa","Egypt","2021-02-08","170207.0","567.0","9699.0","1663.243","94.778",,"17.31","0.2"
"GNQ","Africa","Equatorial Guinea","2021-02-08","5614.0","36.0","87.0","4001.468","62.011",,"7.78",
"ERI","Africa","Eritrea","2021-02-08","2326.0","0.0","7.0","655.871","1.974",,"6.05","0.2"
"SWZ","Africa","Eswatini","2021-02-08","16234.0","30.0","607.0","13992.849","523.202",,"3.94","1.7"
"ETH","Africa","Ethiopia","2021-02-08","142994.0","656.0","2156.0","1243.82","18.754",,"7.47","0.4"
"GAB","Africa","Gabon","2021-02-08","11836.0","379.0","71.0","5317.811","31.9",,"7.2",
"GMB","Africa","Gambia","2021-02-08","4302.0","65.0","135.0","1780.14","55.862",,"1.91","0.7"
"GHA","Africa","Ghana","2021-02-08","72328.0","1560.0","472.0","2327.684","15.19",,"4.97","0.3"
"GIN","Africa","Guinea","2021-02-08","14764.0","77.0","84.0","1124.209","6.396",,"2.42",
"GNB","Africa","Guinea-Bissau","2021-02-08","2780.0","0.0","46.0","1412.603","23.374",,"2.42",
"KEN","Africa","Kenya","2021-02-08","101944.0","125.0","1786.0","1895.881","33.215",,"2.92","1.2"
"LSO","Africa","Lesotho","2021-02-08","9380.0","0.0","183.0","4378.57","85.424",,"3.94","0.4"
"LBR","Africa","Liberia","2021-02-08","1956.0","0.0","84.0","386.739","16.608",,"2.42","1.5"
"LBY","Africa","Libya","2021-02-08","124882.0","856.0","1974.0","18174.47","287.282",,"10.43",
"MDG","Africa","Madagascar","2021-02-08","19360.0","0.0","285.0","699.144","10.292",,"3.94",
"MWI","Africa","Malawi","2021-02-08","27422.0","227.0","874.0","1433.459","45.688",,"3.94","4.4"
"MLI","Africa","Mali","2021-02-08","8181.0","5.0","339.0","403.983","16.74",,"2.42","1.6"
