"country code","continent","country","date","total_cases","new_cases","total deaths","total cases per million","total deaths per million","population","life expectancy","human development index"
"DZA","Africa","Algeria","2021-02-23","112279.0","185.0","2967.0","2560.464","67.661",,"6.73","0.7"
"AGO","Africa","Angola","2021-02-23","20584.0","36.0","500.0","626.296","15.213",,"3.94",
"BEN","Africa","Benin","2021-02-23","5434.0","0.0","70.0","448.232","5.774",,"0.99","0.6"
"BWA","Africa","Botswana","2021-02-23","27721.0","0.0","300.0","11788.019","127.571",,"4.81","5.7"
"BFA","Africa","Burkina Faso","2021-02-23","11868.0","21.0","141.0","567.758","6.745",,"2.42","1.6"
"BDI","Africa","Burundi","2021-02-23","2041.0","7.0","3.0","171.646","0.252",,"6.05",
"CMR","Africa","Cameroon","2021-02-23","33749.0","0.0","523.0","1271.347","19.702",,"7.2",
"CPV","Africa","Cape Verde","2021-02-23","15089.0","17.0","144.0","27139.075","258.998",,"2.42","2.1"
"CAF","Africa","Central African Republic","2021-02-23","5001.0","0.0","63.0","1035.454","13.044",,"6.1",
"TCD","Africa","Chad","2021-02-23","3882.0","14.0","136.0","236.335","8.28",,"6.1",
"COM","Africa","Comoros","2021-02-23","3522.0","4.0","144.0","4050.161","165.594",,"11.88","4.4"
"COG","Africa","Congo","2021-02-23","8625.0","0.0","127.0","1563.04","23.015",,"7.2","1.7"
"CIV","Africa","Cote d'Ivoire","2021-02-23","32124.0","85.0","188.0","1217.82","7.127",,"2.42",
"COD","Africa","Democratic Republic of Congo","2021-02-23","25144.0","0.0","700.0","280.746","7.816",,"6.1",
"DJI","Africa","Djibouti","2021-02-23","6052.0","26.0","63.0","6125.494","63.765",,"6.05","1.7"
"EGY","Africa","Egypt","2021-02-23","179407.0","633.0","10443.0","1753.145","102.048",,"17.31","0.2"
"GNQ","Africa","Equatorial Guinea","2021-02-23","5852.0","54.0","91.0","4171.107","64.862",,"7.78",
"ERI","Africa","Eritrea","2021-02-23","2773.0","70.0","7.0","781.914","1.974",,"6.05","0.2"
"SWZ","Africa","Eswatini","2021-02-23","16839.0","32.0","647.0","14514.327","557.68",,"3.94","1.7"
"ETH","Africa","Ethiopia","2021-02-23","154257.0","716.0","2305.0","1341.79","20.05",,"7.47","0.4"
"GAB","Africa","Gabon","2021-02-23","13884.0","0.0","76.0","6237.959","34.146",,"7.2",
"GMB","Africa","Gambia","2021-02-23","4612.0","58.0","146.0","1908.416","60.414",,"1.91","0.7"
"GHA","Africa","Ghana","2021-02-23","80759.0","0.0","582.0","2599.013","18.73",,"4.97","0.3"
"GIN","Africa","Guinea","2021-02-23","15487.0","60.0","87.0","1179.262","6.625",,"2.42",
"GNB","Africa","Guinea-Bissau","2021-02-23","3156.0","41.0","47.0","1603.66","23.882",,"2.42",
"KEN","Africa","Kenya","2021-02-23","104500.0","194.0","1837.0","1943.416","34.163",,"2.92","1.2"
"LSO","Africa","Lesotho","2021-02-23","10467.0","1.0","291.0","4885.98","135.838",,"3.94","0.4"
"LBR","Africa","Liberia","2021-02-23","1998.0","2.0","85.0","395.043","16.806",,"2.42","1.5"
"LBY","Africa","Libya","2021-02-23","130701.0","489.0","2125.0","19021.327","309.258",,"10.43",
"MDG","Africa","Madagascar","2021-02-23","19831.0","0.0","297.0","716.153","10.725",,"3.94",
"MWI","Africa","Malawi","2021-02-23","31106.0","164.0","1024.0","1626.036","53.529",,"3.94","4.4"
"MLI","Africa","Mali","2021-02-23","8324.0","18.0","348.0","411.045","17.184",,"2.42","1.6"
"MRT","Africa","Mauritania","2021-02-23","17130.0","20.0","437.0","3684.14","93.985",,"2.42",
"MUS","Africa","Mauritius","2021-02-23","610.0","7.0","10.0","479.648","7.863",,"22.02","3.2"
"MAR","Africa","Morocco","2021-02-23","481709.0","446.0","8574.0","13050.71","232.291","7.23","7.14","0.8"
"MOZ","Africa","Mozambique","2021-02-23","56595.0","435.0","606.0","1810.725","19.389",,"3.3","5.1"
"NAM","Africa","Namibia","2021-02-23","37896.0","154.0","411.0","14914.306","161.753",,"3.94","9.7"
"NER","Africa","Niger","2021-02-23","4740.0","0.0","172.0","195.814","7.105",,"2.42","0.1"
"NGA","Africa","Nigeria","2021-02-23","153187.0","571.0","1874.0","743.123","9.091",,"2.42","0.6"
"RWA","Africa","Rwanda","2021-02-23","18325.0","126.0","253.0","1414.817","19.533",,"4.28","4.7"
"STP","Africa","Sao Tome and Principe","2021-02-23","1655.0","27.0","26.0","7551.526","118.634",,"2.42",
"SEN","Africa","Senegal","2021-02-23","33242.0","143.0","832.0","1985.316","49.69",,"2.42","0.4"
"SYC","Africa","Seychelles","2021-02-23","2514.0","50.0","11.0","25564.369","111.857",,"10.55","7.1"
"SLE","Africa","Sierra Leone","2021-02-23","3862.0","5.0","79.0","484.143","9.903",,"2.42","8.8"
"SOM","Africa","Somalia","2021-02-23","6246.0","0.0","208.0","392.998","13.087",,"6.05",
"ZAF","Africa","South Africa","2021-02-23","1505586.0","998.0","49413.0","25385.589","833.149","0.05","5.52","8.1"
"SSD","Africa","South Sudan","2021-02-23","7098.0","167.0","87.0","634.105","7.772",,"10.43",
"SDN","Africa","Sudan","2021-02-23","30205.0","77.0","1876.0","688.837","42.783",,"15.67",
