"country code","continent","country","date","total_cases","new_cases","total deaths","total cases per million","total deaths per million","population","life expectancy","human development index"
"DZA","Africa","Algeria","2021-01-11","102369.0","225.0","2812.0","2334.471","64.126","43851043.0","76.88","0.754"
"AGO","Africa","Angola","2021-01-11","18254.0","61.0","420.0","555.402","12.779","32866268.0","61.15","0.581"
"BEN","Africa","Benin","2021-01-11","3363.0","59.0","46.0","277.402","3.794","12123198.0","61.77","0.515"
"BWA","Africa","Botswana","2021-01-11","16768.0","718.0","59.0","7130.389","25.089","2351625.0","69.59","0.717"
"BFA","Africa","Burkina Faso","2021-01-11","8279.0","197.0","89.0","396.062","4.258","20903278.0","61.58","0.423"
"BDI","Africa","Burundi","2021-01-11","1019.0","33.0","2.0","85.697","0.168","11890781.0","61.58","0.417"
"CMR","Africa","Cameroon","2021-01-11","26848.0","0.0","448.0","1011.382","16.876","26545864.0","59.29","0.556"
"CPV","Africa","Cape Verde","2021-01-11","12433.0","41.0","115.0","22361.993","206.839","555988.0","72.98","0.654"
"CAF","Africa","Central African Republic","2021-01-11","4973.0","0.0","63.0","1029.657","13.044","4829764.0","53.28","0.367"
"TCD","Africa","Chad","2021-01-11","2589.0","52.0","107.0","157.617","6.514","16425859.0","54.24","0.404"
"COM","Africa","Comoros","2021-01-11","1160.0","10.0","18.0","1333.954","20.699","869595.0","64.32","0.503"
"COG","Africa","Congo","2021-01-11","7127.0","0.0","108.0","1291.57","19.572","5518092.0","64.57","0.606"
"CIV","Africa","Cote d'Ivoire","2021-01-11","23894.0","144.0","139.0","905.821","5.269","26378275.0","57.78","0.492"
"COD","Africa","Democratic Republic of Congo","2021-01-11","19496.0","60.0","619.0","217.683","6.911","89561404.0","60.68","0.457"
"DJI","Africa","Djibouti","2021-01-11","5877.0","6.0","61.0","5948.369","61.741","988002.0","67.11","0.476"
"EGY","Africa","Egypt","2021-01-11","150753.0","961.0","8249.0","1473.141","80.608","102334403.0","71.99","0.696"
"GNQ","Africa","Equatorial Guinea","2021-01-11","5296.0","7.0","86.0","3774.809","61.298","1402985.0","58.74","0.591"
