"country code","continent","country","date","total_cases","new_cases","total deaths","total cases per million","total deaths per million","population","life expectancy","human development index"
"DZA","Africa","Algeria","2021-01-13","102860.0","219.0","2819.0","2345.668","64.286",,"1.9","76.88"
"AGO","Africa","Angola","2021-01-13","18425.0","82.0","424.0","560.605","12.901",,,"61.15"
"BEN","Africa","Benin","2021-01-13","3413.0","50.0","46.0","281.526","3.794",,"0.5","61.77"
"BWA","Africa","Botswana","2021-01-13","16768.0","0.0","59.0","7130.389","25.089",,"1.8","69.59"
"BFA","Africa","Burkina Faso","2021-01-13","8546.0","83.0","93.0","408.835","4.449",,"0.4","61.58"
"BDI","Africa","Burundi","2021-01-13","1062.0","43.0","2.0","89.313","0.168",,"0.8","61.58"
"CMR","Africa","Cameroon","2021-01-13","27336.0","0.0","451.0","1029.765","16.989",,"1.3","59.29"
"CPV","Africa","Cape Verde","2021-01-13","12592.0","86.0","115.0","22647.971","206.839",,"2.1","72.98"
"CAF","Africa","Central African Republic","2021-01-13","4973.0","0.0","63.0","1029.657","13.044",,"1.0","53.28"
"TCD","Africa","Chad","2021-01-13","2709.0","41.0","109.0","164.923","6.636",,,"54.24"
"COM","Africa","Comoros","2021-01-13","1169.0","3.0","33.0","1344.304","37.949",,"2.2","64.32"
"COG","Africa","Congo","2021-01-13","7160.0","0.0","112.0","1297.55","20.297",,,"64.57"
"CIV","Africa","Cote d'Ivoire","2021-01-13","24369.0","183.0","140.0","923.828","5.307",,,"57.78"
"COD","Africa","Democratic Republic of Congo","2021-01-13","20003.0","296.0","626.0","223.344","6.99",,,"60.68"
"DJI","Africa","Djibouti","2021-01-13","5891.0","12.0","61.0","5962.539","61.741",,"1.4","67.11"
"EGY","Africa","Egypt","2021-01-13","152719.0","996.0","8362.0","1492.352","81.713",,"1.6","71.99"
"GNQ","Africa","Equatorial Guinea","2021-01-13","5316.0","20.0","86.0","3789.064","61.298",,"2.1","58.74"
"ERI","Africa","Eritrea","2021-01-13","1596.0","0.0","6.0","450.03","1.692",,"0.7","66.32"
"SWZ","Africa","Eswatini","2021-01-13","12124.0","205.0","332.0","10450.247","286.166",,"2.1","60.19"
"ETH","Africa","Ethiopia","2021-01-13","129455.0","463.0","2006.0","1126.052","17.449",,"0.3","66.6"
"GAB","Africa","Gabon","2021-01-13","9819.0","79.0","66.0","4411.59","29.653",,"6.3","66.47"
"GMB","Africa","Gambia","2021-01-13","3885.0","9.0","125.0","1607.588","51.724",,"1.1","62.05"
"GHA","Africa","Ghana","2021-01-13","56981.0","560.0","341.0","1833.782","10.974",,"0.9","64.07"
"GIN","Africa","Guinea","2021-01-13","14051.0","26.0","81.0","1069.917","6.168",,"0.3","61.6"
"GNB","Africa","Guinea-Bissau","2021-01-13","2478.0","0.0","45.0","1259.148","22.866",,,"58.32"
"KEN","Africa","Kenya","2021-01-13","98555.0","123.0","1720.0","1832.855","31.987",,"1.4","66.7"
"LSO","Africa","Lesotho","2021-01-13","6241.0","304.0","87.0","2913.289","40.611",,,"54.33"
"LBR","Africa","Liberia","2021-01-13","1877.0","1.0","84.0","371.119","16.608",,"0.8","64.1"
"LBY","Africa","Libya","2021-01-13","106670.0","640.0","1629.0","15524.02","237.073",,"3.7","72.91"
"MDG","Africa","Madagascar","2021-01-13","18001.0","0.0","267.0","650.066","9.642",,"0.2","67.04"
"MWI","Africa","Malawi","2021-01-13","9400.0","373.0","254.0","491.376","13.278",,"1.3","64.26"
"MLI","Africa","Mali","2021-01-13","7738.0","51.0","303.0","382.108","14.962",,"0.1","59.31"
"MRT","Africa","Mauritania","2021-01-13","15794.0","87.0","395.0","3396.808","84.952",,,"64.92"
"MUS","Africa","Mauritius","2021-01-13","547.0","1.0","10.0","430.11","7.863",,"3.4","74.99"
"MAR","Africa","Morocco","2021-01-13","455055.0","1266.0","7810.0","12328.586","211.593",,"1.1","76.68"
"MOZ","Africa","Mozambique","2021-01-13","23726.0","730.0","205.0","759.1","6.559",,"0.7","60.85"
"NAM","Africa","Namibia","2021-01-13","29183.0","312.0","271.0","11485.228","106.654",,,"63.71"
"NER","Africa","Niger","2021-01-13","3998.0","29.0","136.0","165.161","5.618",,"0.3","62.42"
"NGA","Africa","Nigeria","2021-01-13","103999.0","1398.0","1382.0","504.508","6.704",,,"54.69"
"RWA","Africa","Rwanda","2021-01-13","10122.0","172.0","128.0","781.488","9.882",,,"69.02"
"STP","Africa","Sao Tome and Principe","2021-01-13","1105.0","15.0","17.0","5041.955","77.569",,"2.9","70.39"
"SEN","Africa","Senegal","2021-01-13","21883.0","198.0","489.0","1306.921","29.205",,,"67.94"
"SYC","Africa","Seychelles","2021-01-13","612.0","11.0","1.0","6223.307","10.169",,"3.6","73.4"
"SLE","Africa","Sierra Leone","2021-01-13","2887.0","23.0","77.0","361.916","9.653",,,"54.7"
"SOM","Africa","Somalia","2021-01-13","4726.0","0.0","130.0","297.36","8.18",,"0.9","57.4"
"ZAF","Africa","South Africa","2021-01-13","1278303.0","18555.0","35140.0","21553.385","592.493","56.48","2.32","64.13"
"SSD","Africa","South Sudan","2021-01-13","3670.0","0.0","63.0","327.862","5.628",,,"57.85"
"SDN","Africa","Sudan","2021-01-13","25730.0","2414.0","1576.0","586.783","35.941",,"0.8","65.31"
"TZA","Africa","Tanzania","2021-01-13","509.0","0.0","21.0","8.521","0.352",,"0.7","65.46"
"TGO","Africa","Togo","2021-01-13","4109.0","64.0","73.0","496.332","8.818",,"0.7","61.04"
"TUN","Africa","Tunisia","2021-01-13","168568.0","3632.0","5415.0","14262.92","458.175",,"2.3","76.7"
"UGA","Africa","Uganda","2021-01-13","38085.0","137.0","304.0","832.623","6.646",,"0.5","63.37"
"ZMB","Africa","Zambia","2021-01-13","31100.0","1343.0","509.0","1691.692","27.687",,"2.0","63.89"
"ZWE","Africa","Zimbabwe","2021-01-13","24256.0","1017.0","589.0","1631.98","39.629",,"1.7","61.49"
"AFG","Asia","Afghanistan","2021-01-13","53584.0","0.0","2301.0","1376.478","59.109",,"0.5","64.83"
"ARM","Asia","Armenia","2021-01-13","163128.0","485.0","2951.0","55050.664","995.871",,"4.2","75.09"
"AZE","Asia","Azerbaijan","2021-01-13","225820.0","474.0","2957.0","22272.029","291.641",,"4.7","73.0"
"BHR","Asia","Bahrain","2021-01-13","96470.0","275.0","356.0","56694.266","209.217",,"2.0","77.29"
"BGD","Asia","Bangladesh","2021-01-13","524910.0","890.0","7833.0","3187.273","47.562",,"0.8","72.59"
"BTN","Asia","Bhutan","2021-01-13","833.0","2.0","1.0","1079.558","1.296",,"1.7","71.78"
"BRN","Asia","Brunei","2021-01-13","174.0","0.0","3.0","397.73","6.857",,"2.7","75.86"
"KHM","Asia","Cambodia","2021-01-13","411.0","13.0",,"24.583",,,"0.8","69.82"
"CHN","Asia","China","2021-01-13","97275.0","180.0","4796.0","67.584","3.332",,"4.34","76.91"
"GEO","Asia","Georgia","2021-01-13","243255.0","1618.0","2846.0","60978.774","713.431",,"2.6","73.77"
"IND","Asia","India","2021-01-13","10512093.0","16946.0","151727.0","7617.434","109.947",,"0.53","69.66"
"IDN","Asia","Indonesia","2021-01-13","858043.0","11278.0","24951.0","3136.998","91.221",,"1.04","71.72"
"IRN","Asia","Iran","2021-01-13","1305339.0","6317.0","56457.0","15541.054","672.164",,"1.5","76.68"
"IRQ","Asia","Iraq","2021-01-13","605416.0","867.0","12915.0","15051.674","321.089",,"1.4","70.6"
