"country code","continent","country","date","total_cases","new_cases","total deaths","total cases per million","total deaths per million","population","life expectancy","human development index"
"DZA","Africa","Algeria","2020-01-23",,"0.0",,,,"43851043.0","76.88","0.754"
"RWA","Africa","Rwanda","2020-11-30",,,,,,"12952209.0","69.02","0.524"
"BHR","Asia","Bahrain","2020-11-30",,,,,,"1701583.0","77.29","0.846"
"KOR","Asia","South Korea","2020-11-30",,,,,,"51269183.0","83.03","0.903"
"NZL","Oceania","New Zealand","2020-11-30",,,,,,"4822233.0","82.29","0.917"
