"country code","continent","country","date","total_cases","new_cases","total deaths","total cases per million","total deaths per million","population","life expectancy","human development index"
"DZA","Africa","Algeria","2021-02-16","111069.0","175.0","2945.0","2532.87","67.159",,"6.73","0.7"
"AGO","Africa","Angola","2021-02-16","20389.0","8.0","494.0","620.362","15.031",,"3.94",
"BEN","Africa","Benin","2021-02-16","5039.0","0.0","62.0","415.649","5.114",,"0.99","0.6"
"BWA","Africa","Botswana","2021-02-16","25802.0","0.0","226.0","10971.987","96.104",,"4.81","5.7"
"BFA","Africa","Burkina Faso","2021-02-16","11630.0","0.0","138.0","556.372","6.602",,"2.42","1.6"
"BDI","Africa","Burundi","2021-02-16","1855.0","6.0","3.0","156.003","0.252",,"6.05",
"CMR","Africa","Cameroon","2021-02-16","32098.0","0.0","479.0","1209.153","18.044",,"7.2",
"CPV","Africa","Cape Verde","2021-02-16","14785.0","24.0","140.0","26592.301","251.804",,"2.42","2.1"
"CAF","Africa","Central African Republic","2021-02-16","4996.0","0.0","63.0","1034.419","13.044",,"6.1",
"TCD","Africa","Chad","2021-02-16","3689.0","25.0","131.0","224.585","7.975",,"6.1",
"COM","Africa","Comoros","2021-02-16","3393.0","35.0","133.0","3901.816","152.945",,"11.88","4.4"
"COG","Africa","Congo","2021-02-16","8419.0","0.0","123.0","1525.709","22.29",,"7.2","1.7"
"CIV","Africa","Cote d'Ivoire","2021-02-16","31365.0","130.0","179.0","1189.047","6.786",,"2.42",
"COD","Africa","Democratic Republic of Congo","2021-02-16","24423.0","37.0","695.0","272.696","7.76",,"6.1",
"DJI","Africa","Djibouti","2021-02-16","5981.0","1.0","63.0","6053.631","63.765",,"6.05","1.7"
"EGY","Africa","Egypt","2021-02-16","175059.0","633.0","10101.0","1710.656","98.706",,"17.31","0.2"
"GNQ","Africa","Equatorial Guinea","2021-02-16","5694.0","0.0","87.0","4058.49","62.011",,"7.78",
"ERI","Africa","Eritrea","2021-02-16","2566.0","0.0","7.0","723.545","1.974",,"6.05","0.2"
"SWZ","Africa","Eswatini","2021-02-16","16606.0","30.0","634.0","14313.494","546.474",,"3.94","1.7"
"ETH","Africa","Ethiopia","2021-02-16","148490.0","665.0","2223.0","1291.626","19.337",,"7.47","0.4"
"GAB","Africa","Gabon","2021-02-16","12865.0","0.0","75.0","5780.131","33.697",,"7.2",
"GMB","Africa","Gambia","2021-02-16","4469.0","55.0","138.0","1849.243","57.104",,"1.91","0.7"
"GHA","Africa","Ghana","2021-02-16","77046.0","554.0","555.0","2479.52","17.861",,"4.97","0.3"
"GIN","Africa","Guinea","2021-02-16","15020.0","53.0","85.0","1143.702","6.472",,"2.42",
"GNB","Africa","Guinea-Bissau","2021-02-16","2950.0","26.0","46.0","1498.985","23.374",,"2.42",
"KEN","Africa","Kenya","2021-02-16","103188.0","174.0","1797.0","1919.016","33.419",,"2.92","1.2"
"LSO","Africa","Lesotho","2021-02-16","10350.0","96.0","254.0","4831.364","118.567",,"3.94","0.4"
"LBR","Africa","Liberia","2021-02-16","1985.0","0.0","85.0","392.473","16.806",,"2.42","1.5"
"LBY","Africa","Libya","2021-02-16","128036.0","331.0","2051.0","18633.482","298.488",,"10.43",
